symbol,timestamp,open,high,low,close,volume,vwap
AAPL,1722470400000,224.37,224.48,217.02,218.36,62500996,
AAPL,1722556800000,219.15,225.6,217.71,219.86,105568560,
AAPL,1722816000000,199.09,213.5,196.0,209.27,119548589,
AAPL,1722902400000,205.3,209.99,201.07,207.23,69660488,
AAPL,1722988800000,206.9,213.64,206.39,209.82,63516417,
AAPL,1723075200000,213.11,214.2,208.83,213.31,47161149,
AAPL,1723161600000,212.1,216.78,211.97,216.24,42201646,
AAPL,1723420800000,216.07,219.5099,215.6,217.53,38028092,
AAPL,1723507200000,219.01,221.89,219.01,221.27,44155331,
AAPL,1723593600000,220.57,223.03,219.7,221.72,41960574,
AAPL,1723680000000,224.6,225.35,222.76,224.72,46414013,
AAPL,1723766400000,223.92,226.8271,223.6501,226.05,44340240,
AAPL,1724025600000,225.72,225.99,223.04,225.89,40687813,
AAPL,1724112000000,225.77,227.17,225.45,226.51,30299033,
AAPL,1724198400000,226.52,227.98,225.05,226.4,34765480,
AAPL,1724284800000,227.79,228.34,223.9,224.53,43695321,
AAPL,1724371200000,225.6589,228.22,224.33,226.84,38677250,
AAPL,1724630400000,226.76,227.28,223.8905,227.18,30602208,
AAPL,1724716800000,225.995,228.85,224.89,228.03,35934559,
AAPL,1724803200000,227.92,229.86,225.68,226.49,38052167,
AAPL,1724889600000,230.1,232.92,228.88,229.79,51906297,
AAPL,1724976000000,230.19,230.4,227.48,229.0,52990770,
AAPL,1725321600000,228.55,229.0,221.17,222.77,50190574,
AAPL,1725408000000,221.66,221.78,217.48,220.85,43262758,
AAPL,1725494400000,221.625,225.48,221.52,222.38,36615398,
AAPL,1725580800000,223.95,225.24,219.77,220.82,48423011,
AAPL,1725840000000,220.82,221.27,216.71,220.91,67179965,
AAPL,1725926400000,218.92,221.48,216.73,220.11,51591033,
AAPL,1726012800000,221.455,223.09,217.89,222.66,44587072,
AAPL,1726099200000,222.5,223.55,219.82,222.77,37498225,
AAPL,1726185600000,223.58,224.04,221.91,222.5,36766619,
AAPL,1726444800000,216.54,217.22,213.92,216.32,59357427,
AAPL,1726531200000,215.75,216.9,214.5,216.79,45519339,
AAPL,1726617600000,217.55,222.71,217.54,220.69,59894928,
AAPL,1726704000000,224.99,229.82,224.63,228.87,66781315,
AAPL,1726790400000,229.97,233.09,227.62,228.2,318679888,
AAPL,1727049600000,227.34,229.45,225.81,226.47,54146023,
AAPL,1727136000000,228.645,229.35,225.73,227.37,43556068,
AAPL,1727222400000,224.93,227.29,224.02,226.37,42308715,
AAPL,1727308800000,227.3,228.5,225.41,227.52,36636707,
AAPL,1727395200000,228.46,229.52,227.3,227.79,34025967,
AAPL,1727654400000,230.04,233.0,229.65,233.0,54793391,
AAPL,1727740800000,229.52,229.65,223.74,226.21,63285048,
AAPL,1727827200000,225.89,227.37,223.02,226.78,32880605,
AAPL,1727913600000,225.14,226.805,223.32,225.67,34044158,
AAPL,1728000000000,227.9,228.0,224.13,226.8,37345098,
AAPL,1728259200000,224.5,225.69,221.33,221.69,39505354,
AAPL,1728345600000,224.3,225.98,223.25,225.77,31855693,
AAPL,1728432000000,225.23,229.75,224.83,229.54,33591091,
AAPL,1728518400000,227.78,229.5,227.17,229.04,28183544,
AAPL,1728604800000,229.3,229.41,227.34,227.55,31759188,
AAPL,1728864000000,228.7,231.73,228.6,231.3,39882085,
AAPL,1728950400000,233.61,237.49,232.37,233.85,64751367,
AAPL,1729036800000,231.6,232.12,229.84,231.78,34082240,
AAPL,1729123200000,233.43,233.85,230.52,232.15,32993810,
AAPL,1729209600000,236.18,236.18,234.01,235.0,46431472,
AAPL,1729468800000,234.45,236.85,234.45,236.48,36254470,
AAPL,1729555200000,233.885,236.22,232.6,235.86,38846578,
AAPL,1729641600000,234.08,235.144,227.76,230.76,52286979,
AAPL,1729728000000,229.98,230.82,228.41,230.57,31109503,
AAPL,1729814400000,229.74,233.22,229.57,231.41,38802304,
AAPL,1730073600000,233.32,234.73,232.55,233.4,36087134,
AAPL,1730160000000,233.1,234.325,232.32,233.67,35417247,
AAPL,1730246400000,232.61,233.47,229.55,230.1,47070907,
AAPL,1730332800000,229.34,229.83,225.37,225.91,64370086,
AAPL,1730419200000,220.965,225.35,220.27,222.91,65276741,
AAPL,1730678400000,220.99,222.79,219.71,222.01,44944468,
AAPL,1730764800000,221.795,223.95,221.14,223.45,28111338,
AAPL,1730851200000,222.61,226.065,221.19,222.72,54561121,
AAPL,1730937600000,224.625,227.875,224.57,227.48,42137691,
AAPL,1731024000000,227.17,228.66,226.405,226.96,38328824,
AAPL,1731283200000,225.0,225.7,221.5,224.23,42005602,
AAPL,1731369600000,224.55,225.59,223.355,224.23,40398299,
AAPL,1731456000000,224.01,226.65,222.76,225.12,48566217,
AAPL,1731542400000,225.02,228.87,225.0,228.22,44923941,
AAPL,1731628800000,226.4,226.92,224.27,225.0,47923696,
AAPL,1731888000000,225.25,229.74,225.17,228.02,44686020,
AAPL,1731974400000,226.98,230.16,226.66,228.28,36211774,
AAPL,1732060800000,228.06,229.93,225.89,229.0,35169566,
AAPL,1732147200000,228.88,230.155,225.7103,228.52,42108327,
AAPL,1732233600000,228.06,230.7199,228.06,229.87,38168252,
AAPL,1732492800000,231.46,233.245,229.74,232.87,90152832,
AAPL,1732579200000,233.33,235.57,233.33,235.06,45986189,
AAPL,1732665600000,234.465,235.69,233.8101,234.93,33498439,
AAPL,1732838400000,234.81,237.81,233.97,237.33,28481377,
AAPL,1733097600000,237.27,240.79,237.16,239.59,48137103,
AAPL,1733184000000,239.81,242.76,238.9,242.65,38861017,
AAPL,1733270400000,242.87,244.11,241.25,243.01,44383935,
AAPL,1733356800000,243.99,244.54,242.13,243.04,40033878,
AAPL,1733443200000,242.905,244.63,242.08,242.84,36870619,
AAPL,1733702400000,241.83,247.24,241.75,246.75,44649232,
AAPL,1733788800000,246.89,248.21,245.34,247.77,36914806,
AAPL,1733875200000,247.96,250.8,246.2601,246.49,45205814,
AAPL,1733961600000,246.89,248.74,245.68,247.96,32777532,
AAPL,1734048000000,247.815,249.2902,246.24,248.13,33155290,
AAPL,1734307200000,247.99,251.38,247.65,251.04,51694753,
AAPL,1734393600000,250.08,253.83,249.78,253.48,51356360,
AAPL,1734480000000,252.16,254.28,247.74,248.05,56774101,
AAPL,1734566400000,247.5,252.0,247.0949,249.79,60882264,
AAPL,1734652800000,248.04,255.0,245.69,254.49,147495267,
AAPL,1734912000000,254.77,255.65,253.45,255.27,40858774,
AAPL,1734998400000,255.49,258.21,255.29,258.2,23234705,
AAPL,1735171200000,258.19,260.1,257.63,259.02,27262983,
AAPL,1735257600000,257.83,258.7,253.06,255.59,42355321,
AAPL,1735516800000,252.23,253.5,250.75,252.2,35557542,
AAPL,1735603200000,252.44,253.28,249.43,250.42,39480718,
AAPL,1735776000000,248.93,249.1,241.8201,243.85,55740731,
AAPL,1735862400000,243.36,244.18,241.89,243.36,40244114,
AAPL,1736121600000,244.31,247.33,243.2,245.0,45045571,
AAPL,1736208000000,242.98,245.55,241.35,242.21,40855960,
AAPL,1736294400000,241.92,243.7123,240.05,242.7,37628940,
AAPL,1736467200000,240.01,240.16,233.0,236.85,61710856,
AAPL,1736726400000,233.53,234.67,229.72,234.4,49630725,
AAPL,1736812800000,234.75,236.12,232.472,233.28,39435294,
AAPL,1736899200000,234.635,238.96,234.43,237.87,39831969,
AAPL,1736985600000,237.35,238.01,228.03,228.26,71759052,
AAPL,1737072000000,232.115,232.29,228.48,229.98,68488301,
AAPL,1737417600000,224.0,224.42,219.38,222.64,98070429,
AAPL,1737504000000,219.79,224.12,219.79,223.83,64126500,
AAPL,1737590400000,224.74,227.03,222.3,223.66,60234760,
AAPL,1737676800000,224.78,225.63,221.41,222.78,54697907,
AAPL,1737936000000,224.02,232.15,223.98,229.86,94863418,
AAPL,1738022400000,230.85,240.19,230.81,238.26,75707569,
AAPL,1738108800000,234.12,239.855,234.01,239.36,45486100,
AAPL,1738195200000,238.665,240.79,237.21,237.59,55658279,
AAPL,1738281600000,247.19,247.19,233.44,236.0,101075128,
AAPL,1738540800000,229.99,231.83,225.7,228.01,73063301,
AAPL,1738627200000,227.25,233.13,226.65,232.8,45067301,
AAPL,1738713600000,228.53,232.67,228.27,232.47,39664989,
AAPL,1738800000000,231.285,233.8,230.425,233.22,29925349,
AAPL,1738886400000,232.6,234.0,227.26,227.63,39707224,
AAPL,1739145600000,229.57,230.585,227.2,227.65,33115645,
AAPL,1739232000000,228.2,235.23,228.13,232.62,53718362,
AAPL,1739318400000,231.2,236.96,230.68,236.87,45243292,
AAPL,1739404800000,236.91,242.3399,235.57,241.53,53614054,
AAPL,1739491200000,241.25,245.55,240.99,244.6,40896227,
AAPL,1739836800000,244.15,245.18,241.84,244.47,48822491,
AAPL,1739923200000,244.66,246.01,243.1604,244.87,32204215,
AAPL,1740009600000,244.94,246.78,244.29,245.83,32316907,
AAPL,1740096000000,245.95,248.69,245.22,245.55,53197431,
AAPL,1740355200000,244.925,248.86,244.42,247.1,51326396,
AAPL,1740441600000,248.0,250.0,244.91,247.04,48013272,
AAPL,1740528000000,244.33,244.98,239.13,240.36,44433564,
AAPL,1740614400000,239.41,242.46,237.06,237.3,41153639,
AAPL,1740700800000,236.95,242.09,230.2,241.84,56833360,
AAPL,1740960000000,241.79,244.0272,236.112,238.03,47183985,
AAPL,1741046400000,237.705,240.07,234.68,235.93,53798062,
AAPL,1741132800000,235.42,236.55,229.23,235.74,47227643,
AAPL,1741219200000,234.435,237.86,233.1581,235.33,45170419,
AAPL,1741305600000,235.105,241.37,234.76,239.07,46273565,
AAPL,1741564800000,235.54,236.16,224.22,227.48,71451281,
AAPL,1741651200000,223.805,225.8399,217.45,220.84,76137410,
AAPL,1741737600000,220.14,221.75,214.91,216.98,62547467,
AAPL,1741824000000,215.95,216.8394,208.42,209.68,61368330,
AAPL,1741910400000,211.25,213.95,209.58,213.49,60107582,
AAPL,1742169600000,213.31,215.22,209.97,214.0,48073426,
AAPL,1742256000000,214.16,215.15,211.49,212.69,42432426,
AAPL,1742342400000,214.22,218.76,213.75,215.24,54385391,
AAPL,1742428800000,213.99,217.4899,212.22,214.1,48862947,
AAPL,1742515200000,211.56,218.84,211.28,218.27,94127768,
AAPL,1742774400000,221.0,221.48,218.58,220.73,44299483,
AAPL,1742860800000,220.77,224.1,220.08,223.75,34493583,
AAPL,1742947200000,223.51,225.02,220.47,221.53,34532656,
AAPL,1743033600000,221.39,224.99,220.5601,223.85,37094774,
AAPL,1743120000000,221.67,223.81,217.68,217.9,39818617,
AAPL,1743379200000,217.005,225.62,216.23,222.13,65299321,
AAPL,1743465600000,219.805,223.68,218.9,223.19,36412740,
AAPL,1743552000000,221.315,225.19,221.02,223.89,35905904,
AAPL,1743638400000,205.54,207.49,201.25,203.19,103419006,
AAPL,1743724800000,193.89,199.88,187.34,188.38,125910913,
AAPL,1743984000000,177.2,194.15,174.62,181.46,160466286,
AAPL,1744070400000,186.7,190.335,169.2101,172.42,120859491,
AAPL,1744156800000,171.95,200.61,171.89,198.85,184395885,
AAPL,1744243200000,189.065,194.7799,183.0,190.42,121879981,
AAPL,1744329600000,186.1,199.54,186.06,198.15,87435915,
AAPL,1744588800000,211.44,212.94,201.1621,202.52,101352911,
AAPL,1744675200000,201.855,203.51,199.8,202.14,51343872,
AAPL,1744761600000,198.36,200.7,192.37,194.27,59732423,
AAPL,1744848000000,197.2,198.8335,194.42,196.98,52164675,
AAPL,1745193600000,193.265,193.8,189.8112,193.16,46742537,
AAPL,1745280000000,196.12,201.59,195.97,199.74,52976371,
AAPL,1745366400000,206.0,208.0,202.799,204.6,52929165,
AAPL,1745452800000,204.89,208.8299,202.94,208.37,47310989,
AAPL,1745539200000,206.365,209.75,206.2,209.28,38222258,
AAPL,1745798400000,210.0,211.5,207.46,210.14,38743074,
AAPL,1745884800000,208.693,212.24,208.37,211.21,36827633,
AAPL,1745971200000,209.3,213.58,206.6705,212.5,52286454,
AAPL,1746057600000,209.08,214.56,208.9,213.32,57365675,
AAPL,1746144000000,206.09,206.99,202.16,205.35,101010621,
AAPL,1746403200000,203.1,204.1,198.21,198.89,69018452,
AAPL,1746489600000,198.21,200.65,197.02,198.51,51216482,
AAPL,1746576000000,199.17,199.44,193.25,196.25,68616943,
AAPL,1746662400000,197.72,200.05,194.6796,197.49,50478872,
AAPL,1746748800000,199.0,200.5399,197.535,198.53,36453923,
AAPL,1747008000000,210.97,211.2679,206.75,210.79,63775814,
AAPL,1747094400000,210.43,213.4,209.0,212.93,51909332,
AAPL,1747180800000,212.43,213.94,210.5801,212.33,49325825,
AAPL,1747267200000,210.95,212.96,209.54,211.45,45029473,
AAPL,1747353600000,212.36,212.57,209.77,211.26,54737850,
AAPL,1747612800000,207.91,209.48,204.26,208.78,46140527,
AAPL,1747699200000,207.67,208.47,205.03,206.86,42496635,
AAPL,1747785600000,205.17,207.04,200.71,202.09,59211774,
AAPL,1747872000000,200.71,202.75,199.7,201.36,46742407,
AAPL,1747958400000,193.665,197.7,193.46,195.27,78432918,
AAPL,1748304000000,198.3,200.74,197.43,200.21,56288475,
AAPL,1748390400000,200.59,202.73,199.9,200.42,45339678,
