symbol,timestamp,open,high,low,close,volume,vwap
AMD,1722470400000,145.0,147.29,130.24,132.54,94731931,
AMD,1722556800000,133.5,137.1,131.33,132.5,78561997,
AMD,1722816000000,122.16,139.14,121.825,134.82,76089361,
AMD,1722902400000,135.15,136.44,129.1,130.18,64455613,
AMD,1722988800000,133.75,136.24,128.37,128.67,54676492,
AMD,1723075200000,131.97,136.48,128.94,136.32,49037454,
AMD,1723161600000,134.69,135.5,132.44,134.27,40582992,
AMD,1723420800000,134.44,137.99,133.23,136.77,39724343,
AMD,1723507200000,138.12,141.19,137.52,141.13,42218019,
AMD,1723593600000,143.0,143.25,137.64,140.75,35506434,
AMD,1723680000000,143.0,147.96,141.81,147.36,43582387,
AMD,1723766400000,145.7,149.3693,145.2,148.56,31123927,
AMD,1724025600000,148.43,155.365,147.72,155.28,60766854,
AMD,1724112000000,156.49,162.04,154.51,156.4,76851158,
AMD,1724198400000,156.12,158.65,155.07,157.81,42791246,
AMD,1724284800000,158.87,159.84,151.01,151.7,45737257,
AMD,1724371200000,153.6,156.4,151.83,154.98,43694642,
AMD,1724630400000,154.7,158.28,148.9101,149.99,49893259,
AMD,1724716800000,150.13,151.7,148.44,150.5,35102650,
AMD,1724803200000,149.4,150.43,144.72,146.36,34075823,
AMD,1724889600000,146.59,149.49,144.47,145.49,31602113,
AMD,1724976000000,147.52,148.99,145.25,148.56,31169069,
AMD,1725321600000,146.41,146.49,136.1,136.94,42172672,
AMD,1725408000000,140.505,143.37,138.51,140.87,39955469,
AMD,1725494400000,138.2,141.71,137.83,139.44,25023021,
AMD,1725580800000,138.7,139.13,132.1101,134.35,39993507,
AMD,1725840000000,136.1,138.445,134.86,138.15,27194508,
AMD,1725926400000,139.06,143.08,137.25,142.84,37217528,
AMD,1726012800000,145.325,150.16,140.71,149.86,50935390,
AMD,1726099200000,148.43,151.54,147.65,150.77,29286166,
AMD,1726185600000,152.32,153.03,150.7,152.31,25117241,
AMD,1726444800000,151.7,154.44,150.912,152.08,27677761,
AMD,1726531200000,153.55,154.045,149.225,150.82,29888994,
AMD,1726617600000,150.9,152.82,148.01,148.29,26320083,
AMD,1726704000000,153.81,159.25,152.77,156.74,44499983,
AMD,1726790400000,156.0,157.45,152.47,155.95,40248201,
AMD,1727049600000,156.445,157.19,154.97,156.75,21728542,
AMD,1727136000000,157.46,159.64,154.58,158.32,27531200,
AMD,1727222400000,158.5,162.95,158.18,162.02,35233264,
AMD,1727308800000,167.055,168.68,164.05,167.49,38044919,
AMD,1727395200000,167.48,168.7286,163.74,164.35,27876037,
AMD,1727654400000,163.1,165.08,162.18,164.08,21920300,
AMD,1727740800000,164.48,165.4,158.08,159.75,31831860,
AMD,1727827200000,159.31,163.1,158.6689,159.78,24630431,
AMD,1727913600000,159.71,166.7894,159.4,162.85,29598787,
AMD,1728000000000,166.533,171.21,164.42,170.9,44640296,
AMD,1728259200000,171.08,172.41,168.21,170.97,38379930,
AMD,1728345600000,171.75,173.6,170.0,172.8,34730152,
AMD,1728432000000,174.05,174.05,169.55,171.02,33890735,
AMD,1728518400000,169.76,172.01,162.0,164.18,75113590,
AMD,1728604800000,164.185,169.35,163.0101,167.89,42136175,
AMD,1728864000000,167.77,168.9,165.15,165.27,31757205,
AMD,1728950400000,163.21,164.13,155.74,156.64,50768024,
AMD,1729036800000,158.075,158.28,154.9159,156.13,30575773,
AMD,1729123200000,160.0,160.44,156.2,156.25,29491853,
AMD,1729209600000,157.41,158.01,155.56,155.97,23822985,
AMD,1729468800000,155.76,158.0,154.15,157.9,25781212,
AMD,1729555200000,156.6,156.74,151.91,154.09,34997352,
AMD,1729641600000,153.0,153.445,150.52,152.91,26095933,
AMD,1729728000000,154.74,155.19,152.35,153.44,22877016,
AMD,1729814400000,155.4,158.91,155.05,156.23,29758489,
AMD,1730073600000,158.5,160.28,157.045,159.92,36010134,
AMD,1730160000000,161.1,167.5099,158.94,166.25,71896038,
AMD,1730246400000,153.01,153.12,148.1,148.6,87701674,
AMD,1730332800000,147.8,148.68,143.33,144.07,44386597,
AMD,1730419200000,144.44,144.54,141.32,141.86,39027430,
AMD,1730678400000,141.7,143.64,139.72,140.71,29117421,
AMD,1730764800000,141.94,143.08,140.8,141.66,27067330,
AMD,1730851200000,144.95,145.625,141.52,145.1,32911499,
AMD,1730937600000,146.68,150.12,145.66,149.82,30326430,
AMD,1731024000000,149.39,150.71,147.525,147.95,27560342,
AMD,1731283200000,147.38,148.57,144.91,147.35,29868125,
AMD,1731369600000,147.0,147.45,141.5501,143.63,33560287,
AMD,1731456000000,142.86,144.49,139.07,139.3,35146648,
AMD,1731542400000,140.34,141.4,138.56,138.84,31681410,
AMD,1731628800000,136.575,137.35,133.65,134.9,44217530,
AMD,1731888000000,138.185,140.9,137.21,138.93,38782434,
AMD,1731974400000,137.41,139.75,137.14,139.39,23131352,
AMD,1732060800000,138.96,140.77,135.48,137.6,28843065,
AMD,1732147200000,138.87,140.2799,134.93,137.49,29311442,
AMD,1732233600000,137.35,139.13,137.04,138.35,21784728,
AMD,1732492800000,140.49,142.35,139.05,141.13,30923110,
AMD,1732579200000,142.55,142.8,136.62,137.72,32092378,
AMD,1732665600000,137.2,137.94,132.96,136.24,30175287,
AMD,1732838400000,136.24,138.59,135.78,137.18,16085714,
AMD,1733097600000,137.915,142.82,137.8,142.06,33102438,
AMD,1733184000000,142.58,143.4495,141.0801,141.98,22665348,
AMD,1733270400000,142.96,144.12,141.18,143.99,25942650,
AMD,1733356800000,143.68,143.95,140.38,141.36,29576925,
AMD,1733443200000,141.48,142.7852,137.4,138.59,33576839,
AMD,1733702400000,135.71,135.77,130.0,130.87,57055558,
AMD,1733788800000,131.56,131.56,127.07,127.74,38907198,
AMD,1733875200000,128.52,131.21,126.2201,130.15,45588138,
AMD,1733961600000,130.0,132.32,129.07,130.6,34267091,
AMD,1734048000000,131.3,131.3,124.77,126.91,67544738,
AMD,1734307200000,126.01,127.76,123.12,126.69,42090277,
AMD,1734393600000,124.45,127.08,123.15,125.02,43314939,
AMD,1734480000000,125.43,127.75,120.43,121.41,49724442,
AMD,1734566400000,122.16,123.38,118.45,118.88,46160667,
AMD,1734652800000,118.0,121.86,117.9,119.21,53591212,
AMD,1734912000000,120.71,126.3387,120.47,124.6,47777898,
AMD,1734998400000,127.51,127.51,124.66,126.29,24829564,
AMD,1735171200000,125.52,127.2999,125.05,125.06,25139138,
AMD,1735257600000,124.37,126.18,122.26,125.19,32924011,
AMD,1735516800000,123.562,124.1,122.35,122.44,30501637,
AMD,1735603200000,123.1,123.55,120.138,120.79,30203428,
AMD,1735776000000,122.29,123.14,119.44,120.63,34256182,
AMD,1735862400000,121.65,125.56,121.42,125.37,36785299,
AMD,1736121600000,129.07,130.73,127.36,129.55,48020190,
AMD,1736208000000,130.51,131.71,126.8537,127.33,39220408,
AMD,1736294400000,124.51,125.3,120.1201,121.84,46723136,
AMD,1736467200000,118.18,118.71,114.4501,116.04,59415614,
AMD,1736726400000,115.28,117.48,114.41,117.32,39128897,
AMD,1736812800000,118.0,118.66,114.5,116.09,37005279,
AMD,1736899200000,117.55,120.42,117.46,119.96,38185819,
AMD,1736985600000,120.24,121.09,118.25,118.44,29414126,
AMD,1737072000000,120.78,122.74,120.55,121.46,35765924,
AMD,1737417600000,122.39,123.75,121.1201,122.28,31578832,
AMD,1737504000000,123.08,125.65,121.912,123.75,35023842,
AMD,1737590400000,121.425,123.71,120.63,123.04,24921108,
AMD,1737676800000,124.55,125.25,122.23,122.84,31570300,
AMD,1737936000000,117.8,118.08,112.8,115.01,61067888,
AMD,1738022400000,115.175,116.15,112.95,114.17,40554760,
AMD,1738108800000,115.77,118.52,114.96,117.35,40199052,
AMD,1738195200000,118.53,120.44,117.09,118.86,29788383,
AMD,1738281600000,119.14,119.565,115.33,115.95,40533565,
AMD,1738540800000,113.875,115.16,112.98,114.27,34586051,
AMD,1738627200000,115.45,119.85,114.79,119.5,69412094,
AMD,1738713600000,107.61,112.09,106.5,112.01,110609343,
AMD,1738800000000,110.93,112.56,109.02,110.16,50426590,
AMD,1738886400000,109.13,109.92,106.79,107.56,46082499,
AMD,1739145600000,108.44,111.4,108.15,110.48,34905359,
AMD,1739232000000,108.98,113.07,108.94,111.1,35033759,
AMD,1739318400000,109.52,111.8356,109.0649,111.72,25319729,
AMD,1739404800000,112.0,114.6,110.4,111.81,40911804,
AMD,1739491200000,112.65,114.63,111.7,113.1,32477159,
AMD,1739836800000,114.05,115.55,113.45,114.28,31720307,
AMD,1739923200000,114.245,116.11,113.14,114.69,28807709,
AMD,1740009600000,115.01,116.55,113.105,114.17,27219565,
AMD,1740096000000,114.845,115.76,110.43,110.84,41353683,
AMD,1740355200000,111.49,111.6,107.98,108.11,29072208,
AMD,1740441600000,107.885,108.64,103.62,103.96,39169161,
AMD,1740528000000,104.945,105.7999,103.99,104.74,29178213,
AMD,1740614400000,105.08,105.76,99.5,99.51,47263727,
AMD,1740700800000,99.56,101.8,98.69,99.86,45194576,
AMD,1740960000000,101.515,102.34,97.09,98.23,38957988,
AMD,1741046400000,96.0,103.18,95.89,100.75,54156941,
AMD,1741132800000,100.36,101.84,98.87,101.67,27855488,
AMD,1741219200000,99.05,101.08,98.27,98.85,28984978,
AMD,1741305600000,98.88,100.65,96.39,100.31,33254367,
AMD,1741564800000,98.57,101.29,95.83,96.63,38281746,
AMD,1741651200000,96.79,98.1599,94.73,96.76,34078300,
AMD,1741737600000,99.045,101.715,98.17,100.79,34241287,
AMD,1741824000000,99.715,100.07,97.27,98.11,28575150,
AMD,1741910400000,99.64,101.22,99.58,100.97,24715265,
AMD,1742169600000,102.6,106.15,102.6,104.59,43689523,
AMD,1742256000000,103.85,104.55,102.97,103.51,27152827,
AMD,1742342400000,104.42,107.9,101.96,106.23,32287496,
AMD,1742428800000,105.12,108.26,105.12,107.14,26871839,
AMD,1742515200000,105.33,107.25,104.33,106.44,30767938,
AMD,1742774400000,109.73,114.85,109.4,113.85,53342002,
AMD,1742860800000,113.265,114.95,112.71,114.81,29077507,
AMD,1742947200000,114.11,115.8999,108.68,110.19,39976485,
AMD,1743033600000,106.11,107.62,105.5499,106.65,32773714,
AMD,1743120000000,105.525,106.51,102.48,103.22,31069114,
AMD,1743379200000,100.235,102.82,98.8,102.74,30865342,
AMD,1743465600000,102.16,102.83,100.93,102.78,23523230,
AMD,1743552000000,101.52,104.185,100.76,102.96,20793989,
AMD,1743638400000,97.79,99.4499,93.64,93.8,50472542,
AMD,1743724800000,90.1,91.08,83.67,85.76,65847021,
AMD,1743984000000,80.68,89.0,77.75,83.64,70515429,
AMD,1744070400000,86.145,88.93,76.48,78.21,69910233,
AMD,1744156800000,79.22,97.91,78.87,96.84,97827352,
AMD,1744243200000,91.0,92.95,85.06,88.7,65210565,
AMD,1744329600000,90.51,94.76,90.5,93.4,57892600,
AMD,1744588800000,97.11,97.3699,93.45,94.5,36002970,
AMD,1744675200000,94.66,96.85,94.62,95.29,28116536,
AMD,1744761600000,87.61,90.47,85.295,88.29,62109016,
AMD,1744848000000,88.84,89.03,86.515,87.5,34801437,
AMD,1745193600000,86.015,86.14,83.75,85.56,33855392,
AMD,1745280000000,86.12,87.17,85.17,86.26,35236735,
AMD,1745366400000,91.875,93.74,90.12,90.39,41102589,
AMD,1745452800000,91.59,94.75,90.37,94.47,33681919,
AMD,1745539200000,93.275,97.1,92.85,96.645,28575343,
AMD,1745798400000,95.575,97.4865,94.27,96.39,30456683,
AMD,1745884800000,95.755,97.1767,95.33,96.06,20700637,
AMD,1745971200000,92.81,97.55,91.87,97.35,29730729,
AMD,1746057600000,99.265,100.1,96.45,96.65,29591507,
AMD,1746144000000,98.4,99.88,98.3,98.8,29957888,
AMD,1746403200000,99.0,102.05,98.76,100.59,41268886,
AMD,1746489600000,98.41,100.07,97.44,98.62,54264254,
AMD,1746576000000,100.75,103.42,96.88,100.36,86648749,
AMD,1746662400000,101.92,105.44,101.56,101.7,54231362,
AMD,1746748800000,102.585,103.54,101.6,102.84,31704261,
AMD,1747008000000,110.415,110.667,106.98,108.12,50543396,
AMD,1747094400000,109.6,113.1277,109.0,112.46,55659513,
AMD,1747180800000,119.83,122.52,116.59,117.72,86743700,
AMD,1747267200000,117.02,117.5,114.01,114.99,43843235,
AMD,1747353600000,118.07,118.24,116.01,117.17,43419695,
AMD,1747612800000,115.015,115.53,114.06,114.74,37737373,
AMD,1747699200000,114.35,114.51,112.08,113.51,29030815,
AMD,1747785600000,113.85,116.1,111.09,112.06,43594606,
AMD,1747872000000,111.9,112.64,110.61,110.71,29251957,
AMD,1747958400000,108.085,111.015,107.6671,110.31,30867274,
AMD,1748304000000,113.175,115.395,112.27,114.56,37885019,
AMD,1748390400000,114.915,114.948,112.66,112.86,27483741,
AMD,1748476800000,115.485,115.54,112.13,113.03,30572131,
AMD,1748563200000,111.584,112.11,108.6154,110.73,36088472,
AMD,1748822400000,111.06,114.86,111.01,114.63,34078358,
AMD,1748908800000,114.5,117.68,113.28,117.31,37161484,
AMD,1748995200000,117.41,119.295,115.73,118.58,31024986,
AMD,1749081600000,118.95,119.2448,114.71,115.69,34182902,
AMD,1749168000000,117.685,118.38,115.88,116.19,27042083,
