symbol,timestamp,open,high,low,close,volume,vwap
BAC,1722470400000,40.44,40.45,38.98,39.5,60107845,
BAC,1722556800000,38.0,38.53,37.18,37.58,76727990,
BAC,1722816000000,35.65,36.955,35.14,36.65,76075189,
BAC,1722902400000,36.65,37.31,36.54,36.92,40614118,
BAC,1722988800000,38.1,38.585,37.27,37.3,44952353,
BAC,1723075200000,37.82,38.415,37.66,38.21,36557830,
BAC,1723161600000,38.16,38.45,37.905,38.28,26411232,
BAC,1723420800000,38.5,38.7299,38.01,38.17,33040638,
BAC,1723507200000,38.37,38.48,38.12,38.46,21553473,
BAC,1723593600000,38.52,38.915,38.43,38.81,25658857,
BAC,1723680000000,39.43,39.68,38.965,39.03,37379822,
BAC,1723766400000,39.0,39.42,38.99,39.34,26886616,
BAC,1724025600000,39.48,39.745,39.45,39.67,27268922,
BAC,1724112000000,39.12,39.24,38.34,38.69,44440757,
BAC,1724198400000,38.87,38.995,38.385,38.75,33751073,
BAC,1724284800000,38.78,39.29,38.565,39.24,35421638,
BAC,1724371200000,39.27,40.17,39.27,39.77,45616647,
BAC,1724630400000,40.0,40.2,39.66,39.92,44659531,
BAC,1724716800000,40.0,40.125,39.61,39.67,32323906,
BAC,1724803200000,39.34,40.27,39.33,39.95,40700528,
BAC,1724889600000,40.05,40.34,39.53,40.17,34810840,
BAC,1724976000000,40.17,40.86,40.13,40.75,49098180,
BAC,1725321600000,40.58,40.9,40.23,40.7,48489317,
BAC,1725408000000,40.66,40.95,40.28,40.5,37732036,
BAC,1725494400000,40.8,40.94,40.01,40.14,34214544,
BAC,1725580800000,39.77,39.875,38.56,38.76,47007588,
BAC,1725840000000,39.25,39.705,39.1001,39.47,37610209,
BAC,1725926400000,39.84,39.84,38.325,39.28,53983875,
BAC,1726012800000,38.99,39.03,38.01,39.0,41190035,
BAC,1726099200000,39.05,39.33,38.535,38.78,39948814,
BAC,1726185600000,38.88,39.09,38.44,38.65,31887313,
BAC,1726444800000,38.81,39.21,38.79,39.1,26336364,
BAC,1726531200000,39.28,39.8,39.21,39.55,27769380,
BAC,1726617600000,39.62,40.12,39.415,39.62,42527830,
BAC,1726704000000,40.04,41.045,40.01,40.87,57977753,
BAC,1726790400000,40.62,40.73,40.24,40.27,70725043,
BAC,1727049600000,40.21,40.44,39.75,39.87,31714848,
BAC,1727136000000,39.85,39.98,39.25,39.45,32534876,
BAC,1727222400000,39.25,39.41,38.94,39.25,28866008,
BAC,1727308800000,39.39,39.715,39.11,39.52,39601424,
BAC,1727395200000,39.65,39.9,39.352,39.4,27861084,
BAC,1727654400000,39.23,39.79,39.02,39.68,35058346,
BAC,1727740800000,39.51,39.56,38.94,39.22,26291185,
BAC,1727827200000,39.25,39.54,39.045,39.23,23302745,
BAC,1727913600000,38.98,39.27,38.725,39.25,26030228,
BAC,1728000000000,39.93,40.25,39.615,40.11,34255929,
BAC,1728259200000,40.21,40.435,39.71,39.96,27177530,
BAC,1728345600000,40.05,40.145,39.805,39.93,26023649,
BAC,1728432000000,39.87,40.385,39.72,40.19,27420997,
BAC,1728518400000,40.01,40.13,39.77,39.97,26182261,
BAC,1728604800000,40.5,42.17,40.4,41.95,50660740,
BAC,1728864000000,41.96,42.1799,41.72,41.91,28098947,
BAC,1728950400000,43.225,43.3615,42.05,42.14,61489989,
BAC,1729036800000,42.21,43.1,42.145,42.8,42437818,
BAC,1729123200000,42.83,43.0,42.465,42.6,31708564,
BAC,1729209600000,42.43,42.645,42.11,42.32,30593526,
BAC,1729468800000,42.25,42.41,41.74,41.76,26589499,
BAC,1729555200000,41.65,42.405,41.57,42.3,37104409,
BAC,1729641600000,42.2,42.47,42.0199,42.34,28569350,
BAC,1729728000000,42.32,42.66,41.97,42.65,28392010,
BAC,1729814400000,42.92,42.98,41.785,41.89,27466909,
BAC,1730073600000,42.07,42.745,42.005,42.62,24527603,
BAC,1730160000000,42.59,42.81,42.47,42.53,22313522,
BAC,1730246400000,41.71,42.9,41.64,42.31,38100539,
BAC,1730332800000,42.29,42.55,41.8,41.82,28138240,
BAC,1730419200000,42.15,42.43,41.75,41.76,31220003,
BAC,1730678400000,41.61,42.02,41.11,41.33,31110086,
BAC,1730764800000,41.51,42.01,41.375,41.88,30851406,
BAC,1730851200000,44.8,45.55,44.0,45.41,110086715,
BAC,1730937600000,45.04,45.23,44.505,44.77,48339732,
BAC,1731024000000,45.14,45.5,44.945,45.13,38331814,
BAC,1731283200000,45.6,46.5175,45.58,46.08,43293527,
BAC,1731369600000,46.14,46.45,45.84,45.86,38155885,
BAC,1731456000000,46.2,46.48,45.83,45.87,36903859,
BAC,1731542400000,45.95,46.16,45.73,45.9,35733066,
BAC,1731628800000,45.62,46.84,45.62,46.75,40488863,
BAC,1731888000000,46.75,47.02,46.485,46.72,32371771,
BAC,1731974400000,45.99,46.615,45.95,46.41,28534097,
BAC,1732060800000,46.57,46.64,45.92,46.06,28021049,
BAC,1732147200000,46.39,47.05,46.3,46.46,45336463,
BAC,1732233600000,46.37,47.22,46.28,47.0,37996162,
BAC,1732492800000,47.26,47.74,47.16,47.5,42718557,
BAC,1732579200000,47.505,47.84,47.21,47.75,30301526,
BAC,1732665600000,47.82,47.98,47.65,47.77,23278393,
BAC,1732838400000,47.8,48.08,47.5,47.51,23262009,
BAC,1733097600000,47.74,47.82,46.85,47.04,35891499,
BAC,1733184000000,47.37,47.4778,46.65,46.82,38123774,
BAC,1733270400000,46.69,46.78,46.13,46.37,24941282,
BAC,1733356800000,46.56,47.24,46.5,47.0,31572096,
BAC,1733443200000,47.06,47.06,46.4,46.75,28931688,
BAC,1733702400000,46.56,46.745,45.895,45.91,34660938,
BAC,1733788800000,45.91,46.29,45.585,45.75,35665762,
BAC,1733875200000,46.0,46.16,45.47,46.08,36790464,
BAC,1733961600000,46.14,46.47,45.92,46.08,24017311,
BAC,1734048000000,46.09,46.1,45.38,45.67,32902264,
BAC,1734307200000,45.59,45.68,45.16,45.47,27330402,
BAC,1734393600000,45.19,45.19,44.62,45.05,33054645,
BAC,1734480000000,45.14,45.43,43.35,43.5,41771890,
BAC,1734566400000,43.97,44.48,43.3103,43.38,38583594,
BAC,1734652800000,43.2,44.395,43.1024,44.17,74222240,
BAC,1734912000000,43.9,44.11,42.78,43.89,35374791,
BAC,1734998400000,43.93,44.415,43.93,44.38,12054354,
BAC,1735171200000,44.21,44.58,44.105,44.55,16079707,
BAC,1735257600000,44.24,44.78,44.06,44.34,17972488,
BAC,1735516800000,43.89,44.14,43.55,43.91,16109771,
BAC,1735603200000,44.04,44.23,43.705,43.95,16110352,
BAC,1735776000000,44.14,44.5868,43.8,44.29,25610575,
BAC,1735862400000,44.75,44.85,44.15,44.81,23455711,
BAC,1736121600000,45.155,46.15,45.0999,45.4,30518458,
BAC,1736208000000,46.28,46.65,45.65,46.08,41111204,
BAC,1736294400000,45.9,46.26,45.69,46.21,40246008,
BAC,1736467200000,46.0,46.05,44.735,45.11,40741349,
BAC,1736726400000,45.1,45.34,44.69,45.06,34353617,
BAC,1736812800000,45.6,45.92,45.23,45.78,36379011,
BAC,1736899200000,47.12,47.46,46.84,47.1,57154814,
BAC,1736985600000,47.0,47.51,45.82,46.64,56339293,
BAC,1737072000000,46.61,46.88,46.08,46.53,44486094,
BAC,1737417600000,46.62,47.15,46.54,46.66,52089087,
BAC,1737504000000,46.6,46.73,45.76,45.79,40296223,
BAC,1737590400000,46.05,46.89,46.045,46.39,35324065,
BAC,1737676800000,46.23,46.86,46.15,46.52,24655102,
BAC,1737936000000,46.55,47.14,46.38,47.09,44260048,
BAC,1738022400000,47.08,47.4358,46.71,46.84,27156644,
BAC,1738108800000,46.75,47.39,46.64,46.75,23681527,
BAC,1738195200000,47.11,47.165,46.4,46.72,31199866,
BAC,1738281600000,46.7,46.83,46.16,46.3,30392921,
BAC,1738540800000,45.42,46.48,45.11,46.21,36497705,
BAC,1738627200000,46.35,47.13,46.27,46.71,32893992,
BAC,1738713600000,46.98,47.13,46.6448,47.11,27696614,
BAC,1738800000000,47.44,47.98,47.17,47.74,39793386,
BAC,1738886400000,47.84,47.97,47.38,47.4,26504696,
BAC,1739145600000,47.48,47.555,46.4,46.67,26725206,
BAC,1739232000000,46.55,46.93,46.275,46.79,20314881,
BAC,1739318400000,46.57,46.58,45.935,46.21,29777070,
BAC,1739404800000,46.52,46.57,45.97,46.33,26815396,
BAC,1739491200000,46.48,47.09,46.48,46.96,25960495,
BAC,1739836800000,46.56,46.65,46.16,46.53,37824104,
BAC,1739923200000,45.88,46.055,45.4201,46.01,38967823,
BAC,1740009600000,45.9,46.19,45.04,45.3,40001086,
BAC,1740096000000,45.25,45.51,44.535,44.81,43485874,
BAC,1740355200000,45.03,45.39,44.435,44.46,35512204,
BAC,1740441600000,44.53,44.835,43.35,43.94,38119007,
BAC,1740528000000,44.04,44.5453,43.86,43.94,32251699,
BAC,1740614400000,44.09,44.7756,43.935,44.12,28477725,
BAC,1740700800000,44.32,46.2,44.199,46.1,62621148,
BAC,1740960000000,46.21,46.96,45.22,45.56,46946021,
BAC,1741046400000,44.73,44.84,42.03,42.67,78278115,
BAC,1741132800000,42.65,42.73,41.705,42.29,52588903,
BAC,1741219200000,41.59,41.89,40.9556,41.46,58103505,
BAC,1741305600000,41.31,41.73,40.61,41.4,50651434,
BAC,1741564800000,40.4,40.62,39.18,39.83,76339995,
BAC,1741651200000,39.7,40.66,39.27,39.61,50608382,
BAC,1741737600000,40.31,40.5,39.2,39.91,42290673,
BAC,1741824000000,39.97,40.19,39.33,39.67,37766080,
BAC,1741910400000,40.26,41.015,40.1724,40.89,35979933,
BAC,1742169600000,40.92,41.77,40.59,41.44,37242797,
BAC,1742256000000,41.72,41.83,41.29,41.65,37644466,
BAC,1742342400000,41.72,42.6983,41.3,42.21,42471117,
BAC,1742428800000,41.76,42.72,41.65,42.48,41018128,
BAC,1742515200000,42.16,42.66,41.89,42.47,65010969,
BAC,1742774400000,42.93,43.15,42.75,43.07,30646143,
BAC,1742860800000,43.35,43.53,43.04,43.28,25445348,
BAC,1742947200000,43.46,43.72,42.73,42.82,30064465,
BAC,1743033600000,42.82,43.09,42.515,42.56,25619235,
BAC,1743120000000,42.44,42.62,40.985,41.25,34252982,
BAC,1743379200000,40.78,41.895,40.605,41.73,36389953,
BAC,1743465600000,41.32,41.7,40.965,41.49,25578539,
