symbol,timestamp,open,high,low,close,volume,vwap
COST,1722470400000,818.55,824.17,809.68,816.89,1861405,
COST,1722556800000,816.2,830.285,805.0101,822.08,2598467,
COST,1722816000000,798.0,810.82,793.0,801.83,2820885,
COST,1722902400000,805.06,833.09,805.06,816.88,2476255,
COST,1722988800000,824.11,833.83,809.26,810.3,1702040,
COST,1723075200000,821.5,842.76,820.45,839.43,2345030,
COST,1723161600000,838.5,857.771,837.63,854.93,1710588,
COST,1723420800000,857.25,870.25,852.4,863.57,1748173,
COST,1723507200000,864.92,868.05,856.16,864.82,1484055,
COST,1723593600000,864.87,866.7327,858.5,862.71,1341493,
COST,1723680000000,872.87,880.325,869.0,877.35,1923809,
COST,1723766400000,877.35,877.35,868.62,870.59,1516332,
COST,1724025600000,870.59,873.63,868.7,872.35,1318382,
COST,1724112000000,872.0,876.755,871.17,876.2,1104595,
COST,1724198400000,880.74,891.12,877.22,881.42,1465505,
COST,1724284800000,882.3,884.0,873.18,877.56,1440919,
COST,1724371200000,882.49,884.556,871.6684,879.21,1305753,
COST,1724630400000,883.17,893.2499,881.4411,892.51,1737024,
COST,1724716800000,892.69,918.928,887.07,908.9,2098899,
COST,1724803200000,910.96,912.22,881.655,888.05,1668378,
COST,1724889600000,891.0,900.46,885.17,886.63,1709893,
COST,1724976000000,890.5,896.3299,883.1,892.38,1933485,
COST,1725321600000,896.68,896.89,874.44,878.57,1784179,
COST,1725408000000,877.45,891.755,876.5866,890.02,1423134,
COST,1725494400000,888.63,888.63,868.7,885.98,1998837,
COST,1725580800000,891.261,893.2,871.0,876.68,2074604,
COST,1725840000000,884.74,898.831592,881.7,896.49,1953977,
COST,1725926400000,892.6,900.69,887.5201,894.29,1360818,
COST,1726012800000,895.0,902.0,877.87,900.4,1796084,
COST,1726099200000,900.42,915.7,896.51,915.03,1868674,
COST,1726185600000,913.63,923.8299,909.36,916.0,1327509,
COST,1726444800000,922.0,922.63,905.35,907.87,1661046,
COST,1726531200000,908.43,908.6,895.45,897.27,1386963,
COST,1726617600000,899.94,904.98,890.9497,892.52,1338163,
COST,1726704000000,904.26,905.13,895.5001,900.74,1747482,
COST,1726790400000,901.57,907.8073,895.7,906.98,4658159,
COST,1727049600000,906.98,919.5,900.78,917.08,1697643,
COST,1727136000000,912.01,912.77,897.53,901.54,2432552,
COST,1727222400000,903.0,910.36,901.125,908.42,1728137,
COST,1727308800000,905.3,909.2399,898.13,901.44,2738553,
COST,1727395200000,893.26,893.49,874.0,885.62,3459054,
COST,1727654400000,891.37,910.0,881.41,886.52,2146353,
COST,1727740800000,885.25,886.99,872.75,877.38,1836683,
COST,1727827200000,874.65,881.23,867.16,878.53,1317146,
COST,1727913600000,874.44,881.18,872.665,875.67,1451942,
COST,1728000000000,877.99,884.29,875.67,883.11,1517311,
COST,1728259200000,881.6,887.71,872.3264,873.59,1963158,
COST,1728345600000,876.7,891.305,876.7,890.42,1697910,
COST,1728432000000,892.24,910.0,887.87,909.1,1956453,
COST,1728518400000,910.0,910.0,891.84,893.63,1765785,
COST,1728604800000,894.5,894.5,885.5001,889.03,1527294,
COST,1728864000000,892.45,895.1716,886.26,889.76,1431497,
COST,1728950400000,892.09,900.65,889.55,894.61,1613905,
COST,1729036800000,889.92,891.325,879.5001,887.38,1475495,
COST,1729123200000,891.555,895.33,882.8,885.29,1321463,
COST,1729209600000,885.76,890.61,883.75,889.56,1654015,
COST,1729468800000,889.0,891.4,883.7,886.77,1184880,
COST,1729555200000,890.98,894.89,884.31,893.49,1189653,
COST,1729641600000,896.02,905.68,894.99,899.17,2193473,
COST,1729728000000,901.5,903.5,888.26,893.42,1649565,
COST,1729814400000,895.65,901.6191,890.0,891.22,1425842,
COST,1730073600000,895.99,895.99,890.0,890.96,912507,
COST,1730160000000,890.0,891.17,874.09,886.99,1361681,
COST,1730246400000,886.38,886.5699,877.37,879.09,1412209,
COST,1730332800000,877.2,877.65,868.65,874.18,1771876,
COST,1730419200000,874.27,879.4108,867.3401,877.31,1625161,
COST,1730678400000,881.34,887.0,876.73,886.07,1577144,
COST,1730764800000,888.0,895.58,886.7975,890.17,1622264,
COST,1730851200000,898.28,899.9,886.28,899.25,2437420,
COST,1730937600000,898.62,919.48,894.37,913.93,2145454,
COST,1731024000000,914.0,962.0,913.75,943.8,3277090,
COST,1731283200000,943.8,951.28,931.435,932.88,2181815,
COST,1731369600000,935.95,939.56,927.0,932.38,1691807,
COST,1731456000000,930.0,937.5899,923.2,933.73,1757645,
COST,1731542400000,927.0,931.15,922.1715,923.89,1859919,
COST,1731628800000,917.74,920.5499,905.5613,907.07,2269945,
COST,1731888000000,910.64,925.94,907.1069,919.51,1797786,
COST,1731974400000,928.0,934.0,916.36,930.15,1690536,
COST,1732060800000,925.08,928.8,916.5,928.08,1452130,
COST,1732147200000,935.0,958.4899,930.0,955.65,2320548,
COST,1732233600000,962.74,976.3,958.5201,964.01,2078740,
COST,1732492800000,975.0,975.0,949.69,960.89,3240929,
COST,1732579200000,964.0,974.37,960.89,971.5,1438037,
COST,1732665600000,971.46,972.29,958.59,961.55,1499464,
COST,1732838400000,968.09,973.27,962.47,971.88,1095860,
COST,1733097600000,971.36,976.5,964.76,975.0,1955774,
COST,1733184000000,974.69,983.0,970.76,982.15,1653910,
COST,1733270400000,982.0,991.15,977.55,990.92,1784687,
COST,1733356800000,986.66,990.13,978.2,982.26,2089430,
COST,1733443200000,982.26,997.7068,982.26,992.61,1737317,
COST,1733702400000,997.01,997.01,980.5,987.86,1855470,
COST,1733788800000,989.73,994.99,985.8825,993.4,1556751,
COST,1733875200000,995.0,1007.8,993.59,994.69,1903635,
COST,1733961600000,1001.68,1002.47,987.21,988.39,2344334,
COST,1734048000000,981.0,1006.6799,965.73,989.35,2951921,
COST,1734307200000,989.045,1008.25,986.37,992.87,2581292,
COST,1734393600000,994.0,996.92,980.76,982.08,2050219,
COST,1734480000000,982.0,985.6,964.0,964.74,2725300,
COST,1734566400000,974.51,974.64,953.51,954.8,2610843,
COST,1734652800000,949.39,961.9414,943.05,954.07,5373797,
COST,1734912000000,953.88,954.255,937.0,949.91,1856831,
COST,1734998400000,950.74,959.38,945.45,958.82,939029,
COST,1735171200000,956.82,959.41,954.0,956.14,969936,
COST,1735257600000,948.72,950.45,932.0001,939.7,1943440,
COST,1735516800000,931.0,934.17,915.5,922.21,1881241,
COST,1735603200000,923.65,924.739,912.54,916.27,1742939,
COST,1735776000000,915.0,925.77,902.0,909.81,1767658,
COST,1735862400000,914.33,924.21,911.0001,916.58,1614211,
COST,1736121600000,917.98,927.4099,913.27,922.71,1970405,
COST,1736208000000,923.84,931.305,916.43,921.37,1887982,
COST,1736294400000,922.975,930.4999,915.415,927.37,1774763,
COST,1736467200000,933.36,944.28,923.5,936.94,2765797,
COST,1736726400000,934.0,934.99,921.0,924.7,1693763,
COST,1736812800000,924.3,927.7616,909.918,917.23,1683757,
COST,1736899200000,927.26,932.87,918.3001,923.5,1839386,
COST,1736985600000,924.73,927.4,917.82,919.75,1352957,
COST,1737072000000,930.0,943.8,924.565,943.19,2375012,
COST,1737417600000,945.25,956.55,943.5,947.73,2042443,
COST,1737504000000,951.225,951.94,939.24,944.7,2154991,
COST,1737590400000,941.69,943.39,936.485,942.16,1352440,
COST,1737676800000,942.16,946.0404,933.555,939.68,1562422,
COST,1737936000000,930.0,966.99,927.1801,965.25,3044682,
COST,1738022400000,961.83,965.71,954.0657,958.67,2166375,
COST,1738108800000,957.8,968.257,955.0,964.02,1713749,
COST,1738195200000,970.3,986.75,970.0975,979.01,1788180,
COST,1738281600000,976.24,991.0,975.78,979.88,1875713,
COST,1738540800000,972.385,1009.6105,968.94,1005.83,2751018,
COST,1738627200000,1005.4,1024.35,999.65,1021.86,2001641,
COST,1738713600000,1020.0,1043.09,1020.0,1042.88,2050058,
COST,1738800000000,1050.0,1063.0,1044.2,1050.99,2218045,
COST,1738886400000,1047.0,1056.71,1035.51,1043.81,1632854,
COST,1739145600000,1052.0,1063.0,1046.0,1061.92,2036894,
COST,1739232000000,1059.91,1065.9999,1049.04,1058.34,1748505,
COST,1739318400000,1054.15,1067.0,1051.0002,1065.12,1662315,
COST,1739404800000,1067.01,1078.235,1064.65,1076.86,1623281,
COST,1739491200000,1076.48,1077.49,1068.01,1071.85,1410728,
COST,1739836800000,1069.21,1071.0,1045.24,1056.03,2090589,
COST,1739923200000,1056.06,1063.18,1053.0,1062.54,1349634,
COST,1740009600000,1053.64,1053.64,1033.85,1034.83,2000545,
COST,1740096000000,1034.605,1036.2099,1024.6801,1035.03,1816308,
COST,1740355200000,1028.54,1038.185,1025.22,1035.6,1759749,
COST,1740441600000,1040.73,1057.02,1037.4583,1055.66,2083802,
COST,1740528000000,1050.14,1058.89,1030.18,1031.97,1555684,
COST,1740614400000,1034.0,1042.5299,1018.8272,1021.71,1629074,
COST,1740700800000,1030.61,1049.38,1023.99,1048.61,3307117,
COST,1740960000000,1051.74,1066.0,1041.14,1046.85,2422451,
COST,1741046400000,1045.73,1047.93,1028.73,1036.87,2536792,
COST,1741132800000,1033.08,1050.98,1028.5,1047.75,1898604,
COST,1741219200000,1032.95,1045.89,1019.0544,1026.62,2594563,
COST,1741305600000,995.15,1002.42,942.78,964.31,5510718,
COST,1741564800000,955.47,959.66,924.03,934.41,4444706,
COST,1741651200000,931.0,938.0,921.2,930.49,3204869,
COST,1741737600000,938.0,944.38,923.25,927.08,2331610,
COST,1741824000000,922.0,923.5,887.47,890.62,3447210,
COST,1741910400000,891.81,906.95,881.56,903.92,3186406,
COST,1742169600000,901.63,923.3899,898.0001,916.61,2256059,
COST,1742256000000,913.0,917.56,896.835,898.05,2182005,
COST,1742342400000,902.86,910.16,896.0,904.05,1908521,
COST,1742428800000,901.5,907.48,894.1,895.4,1891797,
COST,1742515200000,888.75,909.77,883.96,909.26,3447576,
COST,1742774400000,920.0,928.65,920.0,926.04,2208062,
COST,1742860800000,926.63,932.29,922.49,930.26,1622981,
