symbol,timestamp,open,high,low,close,volume,vwap
CRM,1722470400000,259.9,263.36,249.74,253.06,5527395,
CRM,1722556800000,247.79,248.0,241.1165,243.97,6504544,
CRM,1722816000000,232.32,241.82,232.21,239.01,6899342,
CRM,1722902400000,241.09,243.85,238.03,238.42,5673889,
CRM,1722988800000,242.61,246.53,239.66,240.04,4035549,
CRM,1723075200000,243.24,249.43,243.08,249.12,4474252,
CRM,1723161600000,248.7,252.95,248.45,252.53,2975285,
CRM,1723420800000,252.6,254.09,249.02,251.31,3679904,
CRM,1723507200000,253.0,255.78,253.0,254.6,4031818,
CRM,1723593600000,255.39,257.71,253.86,255.32,4145248,
CRM,1723680000000,257.9,262.89,256.24,262.79,5167930,
CRM,1723766400000,261.75,263.6,259.68,262.91,3494863,
CRM,1724025600000,263.1,265.39,261.63,265.38,4501262,
CRM,1724112000000,264.95,265.5,261.03,261.84,5731309,
CRM,1724198400000,261.1,262.14,259.18,261.09,4648204,
CRM,1724284800000,261.5,263.26,257.27,258.59,5111442,
CRM,1724371200000,261.99,265.6,260.7,264.0,4711326,
CRM,1724630400000,263.94,267.3,263.24,265.28,3818271,
CRM,1724716800000,259.65,264.46,259.4,264.2,5276384,
CRM,1724803200000,261.83,265.18,257.36,258.9,10981901,
CRM,1724889600000,271.01,271.95,256.28,257.01,14301691,
CRM,1724976000000,257.44,259.13,251.0,252.9,10507704,
CRM,1725321600000,252.62,253.69,246.64,248.06,6190352,
CRM,1725408000000,246.47,249.48,245.16,247.68,3915991,
CRM,1725494400000,245.98,248.4999,245.0,246.12,4083624,
CRM,1725580800000,247.74,250.0,241.4401,243.97,6259431,
CRM,1725840000000,246.5,249.36,244.77,245.76,4588809,
CRM,1725926400000,247.13,247.34,243.311,246.16,3544808,
CRM,1726012800000,244.81,250.02,242.0141,249.57,4822215,
CRM,1726099200000,251.39,254.14,249.57,253.37,5221397,
CRM,1726185600000,252.54,256.83,252.445,254.57,4998901,
CRM,1726444800000,254.57,257.81,254.57,256.91,5367024,
CRM,1726531200000,258.72,259.37,254.76,255.19,5423388,
CRM,1726617600000,256.0,256.12,250.96,252.43,4436734,
CRM,1726704000000,260.72,269.54,258.05,265.99,11022830,
CRM,1726790400000,266.01,270.32,261.32,266.8,11463169,
CRM,1727049600000,267.25,268.06,262.24,264.21,6033986,
CRM,1727136000000,269.83,272.46,266.29,270.44,7154459,
CRM,1727222400000,270.45,277.05,269.384,274.09,7920044,
CRM,1727308800000,276.13,278.64,272.71,275.76,5253376,
CRM,1727395200000,276.26,277.84,275.0601,276.64,5220075,
CRM,1727654400000,273.95,275.74,269.14,273.71,5062226,
CRM,1727740800000,274.14,274.7,269.69,270.87,4369918,
CRM,1727827200000,273.72,282.0,270.8517,279.48,8512272,
CRM,1727913600000,278.99,281.12,277.73,280.91,3868447,
CRM,1728000000000,283.86,287.89,281.47,287.75,6131284,
CRM,1728259200000,286.58,288.17,283.38,284.57,4794652,
CRM,1728345600000,286.0,292.63,284.1035,291.57,5211209,
CRM,1728432000000,290.82,291.57,287.08,287.92,4850952,
CRM,1728518400000,287.92,290.23,284.62,290.17,3965512,
CRM,1728604800000,289.21,290.24,286.3,288.1,3597035,
CRM,1728864000000,289.92,292.4499,288.25,291.64,3642540,
CRM,1728950400000,293.46,293.58,288.0004,288.35,3850782,
CRM,1729036800000,287.55,290.92,284.23,290.86,3496969,
CRM,1729123200000,291.96,293.34,290.1,291.11,2830025,
CRM,1729209600000,292.04,294.71,290.15,292.94,3087902,
CRM,1729468800000,289.0,292.92,288.04,291.29,2712571,
CRM,1729555200000,289.75,291.942,287.65,288.33,3100125,
CRM,1729641600000,287.73,288.3032,282.6176,284.43,3227071,
CRM,1729728000000,286.56,288.91,285.18,286.76,3210656,
CRM,1729814400000,290.0,294.38,288.83,290.46,3351560,
CRM,1730073600000,293.6,296.07,292.49,293.77,3867816,
CRM,1730160000000,294.0,300.595,292.81,298.89,4280743,
CRM,1730246400000,297.07,299.54,296.35,296.4,2826545,
CRM,1730332800000,292.6,296.09,289.55,291.37,4301838,
CRM,1730419200000,290.23,296.99,290.0,294.72,3527502,
CRM,1730678400000,297.99,300.18,292.92,298.01,5108329,
CRM,1730764800000,297.44,298.81,294.74,297.49,4456064,
CRM,1730851200000,305.0,308.56,303.07,306.9,5874885,
CRM,1730937600000,307.5,312.19,306.0001,310.78,5722636,
CRM,1731024000000,310.03,322.81,309.437,321.95,8484970,
CRM,1731283200000,325.25,344.88,325.25,341.73,13954199,
CRM,1731369600000,339.29,348.86,338.51,341.15,7659675,
CRM,1731456000000,345.5,348.1906,338.77,341.72,6902936,
CRM,1731542400000,342.44,346.0,330.82,331.65,7630619,
CRM,1731628800000,326.93,330.26,324.18,325.26,7093003,
CRM,1731888000000,327.0,327.0,320.205,322.25,4251074,
CRM,1731974400000,319.0,324.7,316.0001,323.43,5469892,
CRM,1732060800000,325.29,327.26,322.01,325.7,3763500,
CRM,1732147200000,331.35,342.9396,328.6,335.78,8364165,
CRM,1732233600000,338.95,342.81,335.78,342.02,5649365,
CRM,1732492800000,345.0,347.85,338.29,339.11,7117192,
CRM,1732579200000,341.98,343.81,339.14,343.18,4492772,
CRM,1732665600000,336.46,337.38,328.88,330.01,7471475,
CRM,1732838400000,329.34,331.99,327.25,329.99,3517586,
CRM,1733097600000,332.0,334.5,330.11,331.01,6063387,
CRM,1733184000000,327.4,332.7999,323.65,331.43,12632360,
CRM,1733270400000,366.81,369.0,356.65,367.87,24733140,
CRM,1733356800000,360.78,365.45,356.67,361.38,10942124,
CRM,1733443200000,364.99,367.15,361.0908,361.99,5738864,
CRM,1733702400000,361.7,361.7,350.79,351.57,6475001,
CRM,1733788800000,351.35,355.49,347.43,348.82,6032962,
CRM,1733875200000,353.49,360.2,351.88,354.85,7546604,
CRM,1733961600000,355.0,360.0,352.92,358.03,5422002,
CRM,1734048000000,364.0,364.8,352.5,354.31,5538020,
CRM,1734307200000,350.78,358.07,350.56,357.23,5482323,
CRM,1734393600000,356.9,357.23,349.11,350.97,6910983,
CRM,1734480000000,354.5,354.77,335.24,337.23,8400030,
CRM,1734566400000,341.695,343.53,335.43,336.23,7423351,
CRM,1734652800000,332.74,346.45,331.1395,343.65,14932307,
CRM,1734912000000,342.25,343.8457,336.68,342.9,5330267,
CRM,1734998400000,343.0,344.95,340.83,344.43,1810961,
CRM,1735171200000,344.88,344.88,341.0312,341.72,3484545,
