symbol,timestamp,open,high,low,close,volume,vwap
CVX,1722470400000,158.71,159.5,152.03,152.62,16689945,
CVX,1722556800000,151.13,152.04,147.02,148.55,13278618,
CVX,1722816000000,145.52,145.77,143.41,144.66,13037190,
CVX,1722902400000,144.49,145.09,143.12,143.23,9692659,
CVX,1722988800000,144.58,145.725,142.28,142.41,8867862,
CVX,1723075200000,143.075,144.82,142.71,144.49,7531112,
CVX,1723161600000,144.21,146.11,143.19,144.99,7653053,
CVX,1723420800000,145.84,146.7381,139.69,145.02,8442174,
CVX,1723507200000,144.08,144.55,143.05,144.15,7794816,
CVX,1723593600000,144.39,145.24,143.43,144.67,5874216,
CVX,1723680000000,145.59,147.52,145.48,146.8,6304232,
CVX,1723766400000,146.05,147.62,145.64,147.27,6874416,
CVX,1724025600000,146.01,147.73,145.89,146.83,5967406,
CVX,1724112000000,146.33,146.51,144.56,144.69,7497606,
CVX,1724198400000,145.43,146.64,144.55,145.32,5984993,
CVX,1724284800000,145.35,146.3343,145.13,145.73,4026998,
CVX,1724371200000,146.525,148.0937,146.3152,147.62,4824078,
CVX,1724630400000,148.97,150.09,147.55,148.5,5780289,
CVX,1724716800000,148.67,149.55,146.74,146.95,5099956,
CVX,1724803200000,146.44,147.14,145.48,146.0,5614416,
CVX,1724889600000,146.46,148.18,145.44,147.42,4466696,
CVX,1724976000000,146.22,148.08,145.7,147.95,6414755,
CVX,1725321600000,145.55,145.77,144.28,144.66,7944740,
CVX,1725408000000,144.64,145.5271,141.67,142.07,9810048,
CVX,1725494400000,143.17,143.17,140.6,140.93,9371051,
CVX,1725580800000,141.065,142.11,137.87,138.56,7836358,
CVX,1725840000000,138.635,142.02,138.54,140.3,9892347,
CVX,1725926400000,140.895,141.08,137.09,138.23,8202480,
CVX,1726012800000,138.21,138.4801,135.3672,137.88,9534010,
CVX,1726099200000,138.23,139.47,137.42,139.21,6593436,
CVX,1726185600000,139.87,141.53,139.7124,140.61,5900747,
