symbol,timestamp,open,high,low,close,volume,vwap
HD,1722470400000,369.99,371.48,353.7501,358.58,3759024,
HD,1722556800000,354.93,355.57,346.74,355.43,3764790,
HD,1722816000000,350.88,353.94,345.24,350.01,3828080,
HD,1722902400000,348.75,358.6599,347.28,353.91,2831088,
HD,1722988800000,355.18,356.27,342.28,342.4,3429059,
HD,1723075200000,342.24,348.74,341.34,348.34,3591145,
HD,1723161600000,347.89,351.5299,345.395,348.64,2314771,
HD,1723420800000,350.77,351.5,342.13,345.81,3830237,
HD,1723507200000,341.87,353.39,339.37,350.07,6388596,
HD,1723593600000,349.55,359.6899,349.4,355.66,4814780,
HD,1723680000000,362.46,365.41,358.14,360.07,3575809,
HD,1723766400000,359.97,363.7,359.97,362.06,3308320,
HD,1724025600000,362.5,364.69,362.1,363.07,3634851,
HD,1724112000000,360.65,367.64,360.5,367.27,3459401,
HD,1724198400000,369.45,372.87,368.5218,370.46,4587568,
HD,1724284800000,371.5,372.46,364.61,365.36,4097321,
HD,1724371200000,366.66,376.32,365.19,375.59,3426154,
HD,1724630400000,377.08,378.5821,373.37,374.11,2452134,
HD,1724716800000,373.49,374.28,371.0,373.18,1780282,
HD,1724803200000,373.0,375.41,370.2,372.69,2218430,
HD,1724889600000,372.61,373.316,366.93,367.06,2698518,
HD,1724976000000,369.24,370.41,364.8772,368.5,3216660,
HD,1725321600000,367.9,369.38,362.9,364.74,3598082,
HD,1725408000000,364.17,365.93,360.0124,364.67,3207595,
HD,1725494400000,364.9,365.15,357.58,361.85,2789359,
HD,1725580800000,362.92,365.44,359.42,360.05,2228832,
HD,1725840000000,362.76,366.16,360.03,365.52,2747588,
HD,1725926400000,365.7,371.56,362.48,370.87,2787401,
HD,1726012800000,369.55,371.21,362.14,370.49,2937689,
HD,1726099200000,371.94,374.99,370.56,374.43,2368302,
HD,1726185600000,375.56,382.0,375.51,379.99,2514699,
HD,1726444800000,382.0,384.0,379.53,382.01,2877932,
HD,1726531200000,383.43,387.94,381.68,383.24,2947574,
HD,1726617600000,384.09,392.67,381.07,384.01,3549367,
HD,1726704000000,390.84,391.87,387.01,390.34,3753549,
HD,1726790400000,388.33,391.83,387.0,389.86,6584408,
HD,1727049600000,390.83,392.6499,387.26,391.96,2502469,
HD,1727136000000,394.7,401.11,393.63,400.66,4057692,
HD,1727222400000,400.66,400.66,395.62,396.93,2787489,
HD,1727308800000,399.5,400.0,395.49,396.7,2849536,
HD,1727395200000,399.65,403.5437,398.31,399.53,2452254,
HD,1727654400000,400.2,405.31,399.02,405.2,3444362,
HD,1727740800000,404.02,410.56,401.41,409.05,3476191,
HD,1727827200000,407.7,411.46,404.96,411.26,3431264,
HD,1727913600000,409.0,412.97,406.8,411.58,3320682,
HD,1728000000000,410.07,411.82,399.4501,408.36,3989606,
HD,1728259200000,404.89,409.8099,401.24,408.06,3267812,
HD,1728345600000,409.8,415.29,408.44,414.18,3693887,
HD,1728432000000,420.0,420.03,410.75,416.07,3627800,
HD,1728518400000,409.72,414.48,407.63,409.96,3040794,
HD,1728604800000,410.56,413.14,408.84,411.9,2717431,
HD,1728864000000,411.48,416.42,411.304,415.42,2088681,
HD,1728950400000,417.95,421.56,415.02,415.58,3693034,
HD,1729036800000,413.87,418.74,413.87,418.61,2429037,
HD,1729123200000,418.61,419.0,414.5607,415.6,2013819,
HD,1729209600000,416.65,416.66,413.24,415.0,2436725,
HD,1729468800000,416.07,416.555,404.371,406.4,3699527,
HD,1729555200000,398.5,402.95,396.21,401.85,4486654,
HD,1729641600000,400.56,404.2799,396.69,399.64,3159207,
HD,1729728000000,402.29,404.2,398.088,402.68,2550281,
HD,1729814400000,403.52,403.52,397.83,398.91,1941426,
HD,1730073600000,403.45,405.8399,401.95,402.89,2586529,
HD,1730160000000,393.94,399.105,389.05,395.07,3822679,
HD,1730246400000,395.0,397.69,391.94,392.52,2795609,
HD,1730332800000,390.5,395.67,390.5,393.75,2518637,
HD,1730419200000,394.8,398.71,392.01,392.59,3277974,
HD,1730678400000,391.95,400.48,391.07,395.57,2690877,
HD,1730764800000,394.97,400.23,393.8601,400.09,2496489,
HD,1730851200000,394.04,394.04,381.72,388.37,7133367,
HD,1730937600000,391.0,399.76,390.8,399.44,4323070,
HD,1731024000000,404.0,406.4,402.3001,405.9,3448699,
HD,1731283200000,407.77,411.6,405.825,408.29,4071533,
HD,1731369600000,414.25,416.02,402.19,403.08,5647107,
HD,1731456000000,409.13,412.7399,406.7201,410.19,3083105,
HD,1731542400000,408.0,411.5,404.39,405.72,3348056,
HD,1731628800000,402.9,408.91,402.9,408.18,3239545,
HD,1731888000000,405.5,412.54,403.95,410.44,3394375,
HD,1731974400000,408.38,409.16,399.36,406.8,3239356,
HD,1732060800000,406.0,406.7,399.92,400.0,4732195,
HD,1732147200000,401.33,411.39,400.38,410.45,3722586,
HD,1732233600000,412.09,420.14,410.95,420.0,4932501,
HD,1732492800000,425.0,430.25,424.46,428.67,4544233,
HD,1732579200000,428.6,439.37,424.695,429.52,2758597,
HD,1732665600000,428.6,430.1,425.96,427.19,2293453,
HD,1732838400000,428.56,431.0,427.54,429.13,2028714,
HD,1733097600000,429.0,430.4,423.155,426.96,2617198,
HD,1733184000000,429.73,430.68,423.32,429.35,2713985,
HD,1733270400000,426.41,428.83,425.5,427.92,1969019,
HD,1733356800000,426.6,429.7594,425.88,426.54,2523528,
HD,1733443200000,428.7,435.75,427.01,431.37,3161705,
HD,1733702400000,432.35,436.36,428.03,429.18,3425988,
HD,1733788800000,426.9,427.31,421.41,422.59,3354873,
HD,1733875200000,425.23,428.0,421.26,421.38,4211198,
HD,1733961600000,421.43,422.75,413.18,414.42,3673612,
HD,1734048000000,415.77,418.14,414.18,416.98,2649853,
HD,1734307200000,417.85,418.48,410.69,410.71,2879619,
HD,1734393600000,410.0,410.4,406.23,408.47,3726820,
HD,1734480000000,407.0,410.71,393.38,393.82,4225524,
HD,1734566400000,394.74,395.14,384.89,385.02,4576147,
HD,1734652800000,383.37,393.2872,383.05,392.6,8046363,
HD,1734912000000,391.1,393.24,387.03,392.45,2434007,
HD,1734998400000,392.13,396.14,390.5,396.14,1392629,
HD,1735171200000,392.52,395.78,391.62,395.14,1321218,
HD,1735257600000,392.14,395.47,391.37,392.86,1942681,
HD,1735516800000,390.53,391.21,385.68,389.43,2444858,
HD,1735603200000,390.01,391.46,387.3,388.99,2179671,
HD,1735776000000,392.13,392.67,386.38,388.46,2418343,
HD,1735862400000,389.82,391.01,385.81,389.18,2232389,
HD,1736121600000,390.5,393.99,388.03,389.37,3274669,
HD,1736208000000,390.9,391.9,383.1,384.23,2274312,
HD,1736294400000,383.0,387.69,380.1,387.2,2848462,
HD,1736467200000,388.91,392.91,384.615,389.89,5323431,
HD,1736726400000,389.99,395.86,387.7,389.18,3512936,
HD,1736812800000,390.59,394.2,389.63,392.78,3405174,
HD,1736899200000,406.65,408.0,401.76,406.09,4584769,
HD,1736985600000,406.27,410.105,403.916,409.33,2305938,
HD,1737072000000,413.49,414.45,408.53,409.38,3228960,
HD,1737417600000,413.0,420.22,413.0,418.43,3568089,
HD,1737504000000,417.55,417.55,409.33,410.1,3581351,
HD,1737590400000,411.57,414.69,408.75,414.39,3840275,
HD,1737676800000,414.09,415.01,410.755,414.5,2370116,
HD,1737936000000,414.9,426.1859,414.0,424.87,3699202,
HD,1738022400000,423.24,423.24,416.7,418.83,2818648,
HD,1738108800000,420.22,421.37,411.79,413.42,2385201,
HD,1738195200000,416.41,417.3236,411.5192,414.5,3081304,
HD,1738281600000,413.17,416.38,410.32,411.98,2761798,
HD,1738540800000,406.12,411.9,401.01,408.76,2896444,
HD,1738627200000,409.51,412.58,406.085,411.49,2150773,
HD,1738713600000,415.15,415.15,408.14,413.82,2212115,
HD,1738800000000,414.91,417.79,413.0,414.16,2023667,
HD,1738886400000,413.2,414.2899,406.5,407.37,2530505,
HD,1739145600000,410.64,414.95,408.7902,413.99,2617582,
