symbol,timestamp,open,high,low,close,volume,vwap
JPM,1722470400000,213.2,213.83,206.38,207.96,10918644,
JPM,1722556800000,203.88,204.67,196.89,199.14,18041676,
JPM,1722816000000,194.05,196.1699,190.9,194.9,13926997,
JPM,1722902400000,195.4,202.6,194.0,200.34,10605780,
JPM,1722988800000,203.51,205.75,200.2,200.4,9204434,
JPM,1723075200000,202.47,204.91,201.79,204.06,7761199,
JPM,1723161600000,203.47,206.47,202.9,205.8,5540240,
JPM,1723420800000,206.41,207.14,203.66,206.19,6935954,
JPM,1723507200000,207.73,208.09,205.4,207.94,6387942,
JPM,1723593600000,207.74,210.755,207.12,210.24,6999809,
JPM,1723680000000,213.0,213.89,211.1,211.55,7001005,
JPM,1723766400000,211.69,214.09,211.585,213.97,7931234,
JPM,1724025600000,214.0,215.53,213.82,215.45,6090818,
JPM,1724112000000,215.0,216.0,213.68,214.52,5640223,
JPM,1724198400000,214.43,215.0,212.84,214.6,5202472,
JPM,1724284800000,214.58,216.8,214.335,216.63,5247098,
JPM,1724371200000,217.6,219.19,216.5,218.31,7213981,
JPM,1724630400000,219.01,219.68,218.05,219.17,5105245,
JPM,1724716800000,219.51,220.42,219.19,220.18,5185221,
JPM,1724803200000,219.25,222.21,219.19,221.29,6506402,
JPM,1724889600000,222.15,222.98,218.94,222.21,6416149,
JPM,1724976000000,222.5,225.48,221.93,224.8,8574128,
JPM,1725321600000,222.3,224.1,219.24,220.3,8956089,
JPM,1725408000000,221.04,222.07,217.21,219.33,7345660,
JPM,1725494400000,220.15,220.8,216.03,217.63,8067874,
JPM,1725580800000,217.6,218.74,211.09,212.46,7776998,
JPM,1725840000000,215.19,218.15,214.175,216.81,8935074,
JPM,1725926400000,218.6,218.64,200.61,205.56,28406903,
JPM,1726012800000,205.25,207.7,201.831,207.23,13658743,
JPM,1726099200000,207.65,208.78,204.89,206.6,9055756,
JPM,1726185600000,206.86,207.8482,203.02,204.32,10226694,
JPM,1726444800000,205.83,208.21,205.59,207.86,8634936,
JPM,1726531200000,207.73,209.93,207.66,209.25,7573345,
JPM,1726617600000,209.01,211.3361,206.7,207.53,8259876,
JPM,1726704000000,209.78,211.91,207.34,210.48,11635168,
JPM,1726790400000,209.93,211.415,209.5,211.09,20884974,
JPM,1727049600000,211.0,211.8,209.99,211.44,7223491,
JPM,1727136000000,211.15,212.95,210.37,211.59,7323239,
JPM,1727222400000,211.68,212.24,208.61,210.19,8976520,
JPM,1727308800000,211.13,211.7,209.01,209.78,7807480,
