symbol,timestamp,open,high,low,close,volume,vwap
MA,1722470400000,465.46,467.5,459.19,462.41,2590132,
MA,1722556800000,460.22,466.75,458.61,462.02,3808080,
MA,1722816000000,455.0,461.295,439.5901,442.0,4496726,
MA,1722902400000,443.22,455.45,442.11,448.3,2759051,
MA,1722988800000,450.53,456.92,449.04,449.84,2059829,
MA,1723075200000,452.24,456.27,451.03,455.58,1585584,
MA,1723161600000,455.58,458.8,453.46,456.78,1760295,
MA,1723420800000,457.77,458.46,453.89,455.69,1760046,
MA,1723507200000,458.14,459.64,454.89,459.36,1816206,
MA,1723593600000,459.26,460.54,456.07,460.16,1654140,
MA,1723680000000,465.1,469.0,464.0,468.71,2130571,
MA,1723766400000,468.0,470.26,466.04,468.88,1922047,
MA,1724025600000,469.0,470.15,465.52,466.98,1690880,
MA,1724112000000,468.13,469.67,465.51,469.12,1763383,
MA,1724198400000,468.54,469.09,464.52,468.0,2105889,
MA,1724284800000,469.49,470.91,466.7,468.82,1538288,
MA,1724371200000,470.3,470.34,461.9,466.44,1986348,
MA,1724630400000,468.1,470.53,467.0,468.64,1434397,
MA,1724716800000,471.08,475.5,468.22,474.99,1635908,
MA,1724803200000,475.0,476.41,468.865,471.8,1445425,
MA,1724889600000,474.47,481.92,474.47,480.8,1893601,
MA,1724976000000,481.84,485.74,479.65,483.34,2982115,
MA,1725321600000,482.47,486.69,480.04,482.12,2063707,
MA,1725408000000,482.09,486.17,481.18,483.14,1881322,
MA,1725494400000,483.14,484.16,473.1101,477.36,2293539,
MA,1725580800000,477.11,480.44,474.71,476.12,2116234,
MA,1725840000000,480.5,489.21,479.565,487.09,2343553,
MA,1725926400000,487.1,488.33,482.33,488.02,2234088,
MA,1726012800000,486.52,489.11,477.84,488.18,2479988,
MA,1726099200000,486.95,492.88,483.0,492.11,2299485,
MA,1726185600000,493.1,496.85,491.45,493.36,2204789,
MA,1726444800000,495.3,498.32,493.39,497.71,1589320,
MA,1726531200000,498.6,501.74,497.85,500.99,2202852,
MA,1726617600000,501.28,501.8,494.04,494.76,2193838,
MA,1726704000000,500.0,501.13,486.25,493.01,3517228,
MA,1726790400000,489.65,493.53,487.74,492.74,3470313,
MA,1727049600000,493.16,497.69,491.3,497.14,2191256,
MA,1727136000000,492.68,493.245,484.42,487.41,4143654,
MA,1727222400000,484.76,489.9,483.54,489.45,3483193,
MA,1727308800000,491.0,493.625,489.0,491.27,3073747,
MA,1727395200000,491.03,496.0,490.39,493.64,2177336,
MA,1727654400000,491.78,494.99,490.11,493.8,2862475,
MA,1727740800000,497.26,498.03,493.11,496.38,3748206,
MA,1727827200000,492.94,495.91,489.68,495.57,1736490,
MA,1727913600000,495.55,497.0875,493.0,494.97,1382289,
MA,1728000000000,495.56,499.05,492.47,497.7,1935893,
MA,1728259200000,497.33,498.53,490.75,491.3,1990708,
MA,1728345600000,492.5,497.53,491.53,497.06,1750066,
MA,1728432000000,498.38,500.7499,495.59,499.95,1707580,
MA,1728518400000,500.0,500.7234,495.84,498.02,1491085,
MA,1728604800000,496.51,502.92,496.465,502.26,1920085,
MA,1728864000000,504.36,508.79,502.05,506.66,2127041,
MA,1728950400000,505.62,509.88,504.0,507.23,2885897,
MA,1729036800000,506.35,515.4025,506.0,514.07,2956878,
MA,1729123200000,516.29,517.045,511.52,513.76,2227465,
MA,1729209600000,514.54,518.0,512.58,516.34,2604684,
MA,1729468800000,516.99,518.82,513.9401,515.01,2217572,
MA,1729555200000,511.15,514.55,510.5,513.02,1855981,
MA,1729641600000,512.66,514.7199,511.9,513.73,1759887,
MA,1729728000000,511.9,513.34,509.46,510.62,1912122,
MA,1729814400000,512.5,514.73,505.62,507.36,1582222,
MA,1730073600000,507.4,510.8599,506.14,508.21,2186574,
MA,1730160000000,507.54,511.39,505.7,506.28,2066616,
MA,1730246400000,512.52,516.45,507.0,513.69,3120968,
MA,1730332800000,521.25,527.9,499.03,499.59,5523300,
MA,1730419200000,500.44,510.55,498.53,508.08,3753713,
MA,1730678400000,509.14,510.0,503.03,505.58,2165122,
MA,1730764800000,505.58,508.15,503.61,505.56,2132859,
MA,1730851200000,520.86,523.0,515.94,521.13,3674066,
MA,1730937600000,523.99,524.03,516.5901,517.88,2382508,
MA,1731024000000,520.34,528.84,519.53,524.76,2215681,
MA,1731283200000,528.85,534.025,528.515,530.12,2213822,
MA,1731369600000,529.1,530.9,527.3,529.17,2577628,
MA,1731456000000,530.01,530.5,516.415,521.88,2681881,
MA,1731542400000,520.62,522.36,517.65,520.4,2480583,
MA,1731628800000,518.525,523.39,518.0,521.89,2408193,
MA,1731888000000,518.59,523.49,517.0,521.63,2493483,
MA,1731974400000,518.78,522.65,516.756,519.46,2716216,
MA,1732060800000,521.53,522.5,511.0,512.54,2409527,
MA,1732147200000,513.23,520.12,511.58,515.1,3077464,
MA,1732233600000,516.93,521.705,516.18,520.86,3130470,
MA,1732492800000,521.64,528.25,521.02,526.6,4503914,
MA,1732579200000,527.9,530.6499,525.06,528.48,2326797,
MA,1732665600000,529.05,533.62,526.58,532.38,2086434,
MA,1732838400000,533.01,535.77,530.03,532.94,1760566,
MA,1733097600000,532.93,534.82,526.23,531.36,2355191,
MA,1733184000000,534.67,534.82,525.96,526.18,2319746,
MA,1733270400000,523.64,526.275,518.17,521.14,2630030,
MA,1733356800000,524.6,527.47,522.17,524.77,2538695,
MA,1733443200000,522.93,531.0,522.5,528.57,2122791,
MA,1733702400000,529.02,531.59,521.875,522.82,2942047,
MA,1733788800000,522.51,529.66,520.2201,529.01,2003265,
MA,1733875200000,529.19,535.89,527.2701,534.45,2181241,
MA,1733961600000,536.29,536.75,531.97,532.41,1860815,
MA,1734048000000,534.17,534.68,528.91,529.0,1608196,
MA,1734307200000,532.0,535.0,528.995,530.31,2923016,
MA,1734393600000,529.4,531.78,524.87,531.01,4056007,
MA,1734480000000,530.32,537.13,519.71,519.96,3190277,
MA,1734566400000,524.16,529.22,522.2,523.28,3050813,
MA,1734652800000,522.87,532.08,519.42,528.03,7317151,
MA,1734912000000,525.83,529.3999,521.13,528.96,2270286,
MA,1734998400000,529.27,535.74,527.83,535.71,955015,
MA,1735171200000,533.63,537.7,532.92,536.15,1109713,
MA,1735257600000,533.61,537.56,530.8,532.2,1542157,
MA,1735516800000,527.0,528.5652,521.33,525.55,2101731,
MA,1735603200000,527.67,529.19,525.56,526.57,1942656,
MA,1735776000000,529.19,530.56,517.66,522.4,2818795,
MA,1735862400000,522.53,524.46,517.68,521.36,1627726,
MA,1736121600000,520.97,521.36,511.01,511.93,2920787,
MA,1736208000000,513.68,516.33,511.075,511.4,2211877,
MA,1736294400000,512.04,517.45,511.5325,516.4,2456715,
MA,1736467200000,512.12,513.76,503.36,504.67,2815624,
MA,1736726400000,501.0,506.15,499.92,504.91,2885549,
MA,1736812800000,507.07,509.39,504.21,509.02,2704795,
MA,1736899200000,515.57,523.77,513.73,522.35,3025066,
MA,1736985600000,523.62,527.12,520.72,523.14,3275700,
MA,1737072000000,524.58,528.13,521.01,524.7,2374798,
