symbol,timestamp,open,high,low,close,volume,vwap
NVDA,1722470400000,117.53,120.16,106.8104,109.21,523462326,
NVDA,1722556800000,103.76,108.72,101.37,107.27,482027464,
NVDA,1722816000000,92.06,103.41,90.69,100.45,552842375,
NVDA,1722902400000,103.84,107.71,100.55,104.25,409012089,
NVDA,1722988800000,107.81,108.8,98.69,98.91,411440423,
NVDA,1723075200000,102.0,105.5,97.52,104.97,391910023,
NVDA,1723161600000,105.64,106.6,103.43,104.75,290844157,
NVDA,1723420800000,106.32,111.07,106.26,109.02,325559870,
NVDA,1723507200000,112.44,116.23,111.58,116.14,312646660,
NVDA,1723593600000,118.53,118.6,114.07,118.08,339246407,
NVDA,1723680000000,118.76,123.24,117.47,122.86,318086673,
NVDA,1723766400000,121.94,125.0,121.18,124.58,302589872,
NVDA,1724025600000,124.28,130.0,123.42,130.0,318333577,
NVDA,1724112000000,128.4,129.88,125.89,127.25,300087415,
NVDA,1724198400000,127.315,129.35,126.66,128.5,257883572,
NVDA,1724284800000,130.02,130.75,123.1,123.74,376189076,
NVDA,1724371200000,125.86,129.6,125.22,129.37,323230332,
NVDA,1724630400000,129.57,131.26,124.37,126.46,331964672,
NVDA,1724716800000,125.05,129.2,123.88,128.3,303134573,
NVDA,1724803200000,128.12,128.33,122.64,125.61,448101115,
NVDA,1724889600000,121.355,124.43,116.71,117.59,453023305,
NVDA,1724976000000,119.53,121.75,117.22,119.37,333751583,
NVDA,1725321600000,116.01,116.21,107.29,108.0,477155100,
NVDA,1725408000000,105.41,113.27,104.12,106.21,368378810,
NVDA,1725494400000,104.985,109.65,104.76,107.21,306850696,
NVDA,1725580800000,108.04,108.15,100.95,102.83,413638098,
NVDA,1725840000000,104.88,106.55,103.69,106.47,273912015,
NVDA,1725926400000,107.81,109.4,104.95,108.1,268283736,
NVDA,1726012800000,109.39,117.19,107.42,116.91,441422370,
NVDA,1726099200000,116.84,120.79,115.38,119.14,367100496,
NVDA,1726185600000,119.08,119.955,117.6,119.1,238358328,
NVDA,1726444800000,116.79,118.18,114.36,116.78,248772308,
NVDA,1726531200000,118.17,118.8,114.83,115.59,231925876,
NVDA,1726617600000,115.89,117.7,113.22,113.37,310318937,
NVDA,1726704000000,117.35,119.66,117.25,117.87,293506438,
NVDA,1726790400000,117.06,118.6181,115.3901,116.0,382462428,
NVDA,1727049600000,116.55,116.99,114.86,116.26,206228490,
NVDA,1727136000000,116.515,121.8,115.38,120.87,354966772,
NVDA,1727222400000,122.02,124.94,121.61,123.51,284692948,
NVDA,1727308800000,126.8,127.665,121.8,124.04,302582868,
NVDA,1727395200000,123.97,124.03,119.26,121.4,271009175,
NVDA,1727654400000,118.31,121.5,118.15,121.44,227053651,
NVDA,1727740800000,121.765,122.4351,115.79,117.0,302094485,
NVDA,1727827200000,116.44,119.38,115.14,118.85,221845887,
NVDA,1727913600000,120.92,124.36,120.3401,122.85,277117973,
NVDA,1728000000000,124.94,125.04,121.83,124.92,244465552,
NVDA,1728259200000,124.99,130.64,124.95,127.72,346250233,
NVDA,1728345600000,130.26,133.48,129.42,132.89,285722485,
NVDA,1728432000000,134.11,134.52,131.38,132.65,246191612,
NVDA,1728518400000,131.91,135.0,131.0,134.81,242311337,
NVDA,1728604800000,134.01,135.78,133.66,134.8,170209474,
NVDA,1728864000000,136.47,139.6,136.3,138.07,232347668,
NVDA,1728950400000,137.87,138.57,128.74,131.6,377831021,
NVDA,1729036800000,133.98,136.62,131.58,135.72,264879720,
NVDA,1729123200000,139.34,140.89,136.87,136.93,306435921,
NVDA,1729209600000,138.665,138.9,137.28,138.0,176090184,
NVDA,1729468800000,138.13,143.71,138.0,143.71,264554514,
NVDA,1729555200000,142.91,144.42,141.78,143.59,226311589,
NVDA,1729641600000,142.03,142.43,137.46,139.56,285930038,
NVDA,1729728000000,140.82,141.35,138.46,140.41,172354888,
NVDA,1729814400000,140.93,144.13,140.8,141.54,205122109,
NVDA,1730073600000,143.0,143.14,140.05,140.52,173586745,
NVDA,1730160000000,140.285,142.2598,138.9,141.25,157593634,
NVDA,1730246400000,139.54,140.33,136.81,139.335,179418082,
NVDA,1730332800000,137.6,137.61,132.1106,132.76,270039641,
NVDA,1730419200000,134.7,137.31,134.57,135.4,207127838,
NVDA,1730678400000,137.21,138.96,135.57,136.05,187528173,
NVDA,1730764800000,137.45,140.3701,137.33,139.91,160537373,
NVDA,1730851200000,142.96,146.49,141.96,145.61,242043945,
NVDA,1730937600000,146.39,148.93,146.17,148.88,207323303,
