symbol,timestamp,open,high,low,close,volume,vwap
WMT,1722470400000,68.91,69.8,68.52,69.79,17275532,
WMT,1722556800000,69.6,70.235,67.74,68.46,23578664,
WMT,1722816000000,68.1,68.58,66.91,67.59,20770455,
WMT,1722902400000,67.84,68.63,67.68,67.74,14815072,
WMT,1722988800000,67.87,68.01,66.81,66.91,18499200,
WMT,1723075200000,66.84,67.9199,66.67,67.66,12489819,
WMT,1723161600000,67.85,68.22,67.33,67.95,13805576,
WMT,1723420800000,68.34,69.225,68.07,68.7,17385278,
WMT,1723507200000,68.43,68.61,67.14,68.13,26557901,
WMT,1723593600000,67.92,68.79,67.85,68.66,22928551,
WMT,1723680000000,74.12,74.44,72.78,73.18,49567500,
WMT,1723766400000,72.7,73.605,72.52,73.45,19872144,
WMT,1724025600000,73.39,73.98,73.34,73.72,13709265,
WMT,1724112000000,73.75,74.75,73.72,74.54,14433985,
WMT,1724198400000,75.3,75.58,74.59,75.24,14831992,
WMT,1724284800000,75.37,76.22,75.15,75.58,16511139,
WMT,1724371200000,75.6,75.81,75.0077,75.7,12299093,
WMT,1724630400000,75.9,76.205,75.57,76.03,9508215,
WMT,1724716800000,76.45,76.45,75.77,76.13,11557762,
WMT,1724803200000,76.28,76.43,75.805,76.08,9814264,
WMT,1724889600000,75.99,76.47,75.67,76.42,11856787,
WMT,1724976000000,76.44,77.475,76.22,77.23,23229975,
WMT,1725321600000,77.33,77.81,76.795,77.17,22666144,
WMT,1725408000000,77.33,77.48,76.73,77.24,17989964,
WMT,1725494400000,77.25,77.45,76.39,76.96,13082893,
WMT,1725580800000,76.9,77.32,76.3,76.64,14548588,
WMT,1725840000000,76.85,77.47,76.49,77.34,22260226,
WMT,1725926400000,77.35,78.9,77.28,78.81,17686284,
WMT,1726012800000,78.38,78.92,77.565,78.84,19518761,
WMT,1726099200000,78.99,79.905,78.6221,79.66,14884852,
WMT,1726185600000,79.82,80.685,79.69,80.6,12994100,
WMT,1726444800000,80.84,81.02,80.14,80.56,15346367,
WMT,1726531200000,79.76,80.26,78.26,78.6,21065938,
WMT,1726617600000,78.64,79.41,78.28,79.03,15684878,
WMT,1726704000000,79.05,79.09,77.49,78.04,21525685,
WMT,1726790400000,78.23,79.61,78.11,79.06,39534251,
WMT,1727049600000,79.07,80.4374,79.07,80.33,12147264,
WMT,1727136000000,80.48,80.91,80.24,80.67,14651133,
WMT,1727222400000,80.89,81.6,80.68,81.4,14163785,
WMT,1727308800000,81.04,81.2,79.26,79.92,17061133,
WMT,1727395200000,79.9,80.2875,79.6,79.78,11899050,
WMT,1727654400000,79.89,80.94,79.86,80.75,19008187,
WMT,1727740800000,80.68,81.53,80.435,81.27,16054249,
WMT,1727827200000,80.99,80.99,80.12,80.43,16618272,
WMT,1727913600000,80.3,80.575,79.85,80.43,11640421,
WMT,1728000000000,80.05,81.115,79.85,80.94,11591388,
WMT,1728259200000,80.69,80.94,78.98,79.1,16791646,
WMT,1728345600000,79.62,79.82,79.07,79.71,15269963,
WMT,1728432000000,79.82,80.5,79.75,80.4,12413030,
WMT,1728518400000,80.31,80.32,79.46,79.61,10812700,
WMT,1728604800000,79.7,80.13,79.37,80.1,9570734,
WMT,1728864000000,80.05,80.51,79.76,80.29,9914477,
WMT,1728950400000,80.67,81.8201,80.51,81.65,13276221,
WMT,1729036800000,81.53,81.66,80.62,81.22,11123254,
WMT,1729123200000,81.27,81.5,80.645,80.89,9424705,
WMT,1729209600000,80.87,81.69,80.66,81.31,12324148,
WMT,1729468800000,81.23,81.5496,80.72,80.81,9750376,
WMT,1729555200000,81.11,82.225,80.825,82.02,12240149,
WMT,1729641600000,81.89,83.34,81.8,83.27,13058244,
WMT,1729728000000,82.96,83.315,82.58,83.04,11645856,
WMT,1729814400000,83.2,83.3,82.435,82.51,8959412,
WMT,1730073600000,82.75,83.08,82.47,82.75,7990186,
WMT,1730160000000,82.67,82.86,81.665,81.7,9682403,
WMT,1730246400000,81.6,81.83,81.3,81.39,9268824,
WMT,1730332800000,81.29,82.44,81.22,81.95,15538968,
WMT,1730419200000,82.53,82.53,81.54,82.19,12181833,
WMT,1730678400000,82.2,82.905,82.0,82.45,11731043,
WMT,1730764800000,82.68,83.77,82.51,83.68,10612489,
WMT,1730851200000,85.14,85.54,82.06,83.44,19974038,
WMT,1730937600000,83.72,84.39,83.42,83.85,12665777,
WMT,1731024000000,84.28,85.42,84.23,84.83,14396543,
WMT,1731283200000,84.95,85.41,84.12,84.21,10433166,
WMT,1731369600000,84.5,85.53,84.5,84.99,12860194,
WMT,1731456000000,84.99,85.79,84.77,85.5,12802622,
WMT,1731542400000,85.03,85.76,84.34,84.47,15740732,
WMT,1731628800000,84.53,84.78,83.942,84.25,17370602,
WMT,1731888000000,84.82,84.85,83.66,84.08,25278121,
WMT,1731974400000,86.23,88.29,85.91,86.6,36340856,
WMT,1732060800000,86.6,87.2,85.91,87.18,18183193,
WMT,1732147200000,87.45,88.64,86.93,88.39,18729222,
WMT,1732233600000,89.41,90.91,88.93,90.44,23990645,
WMT,1732492800000,90.5,90.95,89.06,89.5,25078633,
WMT,1732579200000,89.89,91.88,89.84,91.31,16657022,
WMT,1732665600000,92.0,92.25,91.31,91.88,14358861,
WMT,1732838400000,92.26,92.64,91.82,92.5,11041178,
WMT,1733097600000,92.82,92.9887,91.95,92.64,17172953,
WMT,1733184000000,92.78,93.59,92.26,93.51,17775226,
WMT,1733270400000,93.45,94.515,93.05,94.45,17312575,
WMT,1733356800000,94.89,95.6,94.34,95.3,21932325,
WMT,1733443200000,95.54,96.18,95.33,95.7,18803499,
WMT,1733702400000,95.66,95.94,93.602,93.83,20931082,
WMT,1733788800000,94.05,95.24,93.77,94.55,13164487,
WMT,1733875200000,94.54,95.69,94.5,94.96,19682085,
WMT,1733961600000,95.68,95.715,94.09,94.09,14298626,
WMT,1734048000000,93.8,94.68,93.04,94.25,11495854,
WMT,1734307200000,94.42,95.705,94.1048,94.87,16741989,
WMT,1734393600000,95.14,95.49,94.32,95.42,23560821,
WMT,1734480000000,95.34,95.895,93.1304,93.55,24665600,
WMT,1734566400000,94.48,94.565,93.36,93.4,16606501,
WMT,1734652800000,93.01,93.7486,91.63,92.24,49350586,
WMT,1734912000000,91.5,91.5,88.91,90.35,26205379,
WMT,1734998400000,90.37,92.68,90.35,92.68,8992427,
WMT,1735171200000,92.54,92.875,92.17,92.79,10997611,
WMT,1735257600000,92.13,92.35,91.03,91.66,11384359,
WMT,1735516800000,90.73,91.07,90.13,90.57,9790196,
WMT,1735603200000,90.57,90.94,90.055,90.35,11267652,
WMT,1735776000000,89.98,90.6,89.52,90.0,14820438,
WMT,1735862400000,90.15,91.3,90.14,90.78,10834630,
WMT,1736121600000,90.83,92.47,90.67,91.43,14519858,
WMT,1736208000000,91.7,91.94,90.45,90.81,11238044,
WMT,1736294400000,91.11,91.845,90.82,91.8,13453627,
WMT,1736467200000,92.49,93.575,92.2,93.0,18140864,
WMT,1736726400000,92.12,92.43,91.1,91.53,18617077,
WMT,1736812800000,91.86,91.98,90.565,90.79,13549159,
WMT,1736899200000,91.065,91.725,90.81,91.34,17348174,
WMT,1736985600000,91.5,91.72,90.12,91.3,13267723,
WMT,1737072000000,92.07,92.26,91.05,91.94,15868213,
WMT,1737417600000,92.48,94.24,92.31,93.08,23247451,
WMT,1737504000000,93.77,94.0,92.52,93.23,15567057,
WMT,1737590400000,92.96,93.81,92.32,93.81,14198438,
