symbol,timestamp,open,high,low,close,volume,vwap
XOM,1722470400000,118.35,119.49,116.36,116.95,15051482,
XOM,1722556800000,115.97,118.87,115.42,116.88,20403773,
XOM,1722816000000,115.54,116.03,113.25,114.77,18025858,
XOM,1722902400000,114.45,115.63,113.63,114.16,13647778,
XOM,1722988800000,115.45,117.119,115.26,115.68,13660657,
XOM,1723075200000,116.08,118.105,115.73,117.89,13850993,
XOM,1723161600000,117.885,119.31,117.36,118.85,12151867,
XOM,1723420800000,119.55,120.1699,118.02,119.0,13228911,
XOM,1723507200000,118.275,118.51,117.5,117.86,11585067,
XOM,1723593600000,118.1,119.9,117.63,118.95,12194520,
XOM,1723680000000,118.25,119.63,118.12,118.73,11579432,
XOM,1723766400000,117.99,118.48,117.66,118.17,10056024,
XOM,1724025600000,118.4,120.5,118.17,118.53,12417467,
XOM,1724112000000,118.65,118.65,114.51,114.58,15631967,
XOM,1724198400000,115.01,115.57,113.76,113.85,11752358,
XOM,1724284800000,113.78,115.01,113.635,114.73,10609501,
XOM,1724371200000,115.025,116.72,115.025,116.32,10381431,
XOM,1724630400000,117.76,118.94,116.92,118.81,13671016,
XOM,1724716800000,118.96,119.41,117.4,117.68,9991631,
XOM,1724803200000,117.0,117.58,116.26,116.52,10742867,
XOM,1724889600000,117.2,118.79,116.35,118.13,10753895,
XOM,1724976000000,116.79,118.02,116.29,117.94,13284689,
XOM,1725321600000,115.84,116.09,114.04,115.47,15725139,
XOM,1725408000000,115.29,116.15,113.975,114.06,12042710,
XOM,1725494400000,115.07,115.28,113.07,113.17,17200770,
XOM,1725580800000,113.59,114.18,111.732,112.64,13467747,
XOM,1725840000000,112.87,116.15,112.66,115.01,21645325,
XOM,1725926400000,115.1,115.4,110.17,110.82,20913405,
XOM,1726012800000,110.775,110.95,107.77,109.72,19571945,
XOM,1726099200000,109.9,111.33,109.7609,111.23,15923318,
XOM,1726185600000,111.47,112.47,110.93,111.15,10035392,
XOM,1726444800000,112.05,113.085,111.69,112.71,11729034,
XOM,1726531200000,112.32,114.37,112.12,114.18,12202556,
XOM,1726617600000,114.11,115.63,113.81,114.58,12569929,
XOM,1726704000000,116.16,117.575,115.19,116.0,12660642,
XOM,1726790400000,115.46,115.51,114.25,115.27,36206195,
XOM,1727049600000,115.33,117.793,115.12,117.36,16066285,
XOM,1727136000000,117.84,118.16,116.83,117.05,11984863,
XOM,1727222400000,116.485,117.05,114.04,114.77,13816041,
XOM,1727308800000,111.14,113.48,111.14,112.8,16887908,
XOM,1727395200000,113.76,116.09,113.25,115.82,15963973,
XOM,1727654400000,115.46,117.39,114.96,117.22,13250657,
XOM,1727740800000,116.04,120.6,115.93,119.93,23235878,
XOM,1727827200000,121.93,122.82,120.2,121.52,17129676,
XOM,1727913600000,121.9,123.17,120.929,122.58,16524334,
XOM,1728000000000,123.2,125.19,122.43,124.83,19759207,
XOM,1728259200000,125.25,126.34,124.86,125.37,15714440,
XOM,1728345600000,123.88,124.02,121.26,122.04,14818475,
XOM,1728432000000,120.9,122.5799,120.8,122.09,11144864,
XOM,1728518400000,123.16,123.7013,122.29,123.14,10243320,
XOM,1728604800000,123.1,124.0339,122.94,123.61,8294839,
